PID,POSTTIME,CITY,STATE,MAKE,MODEL,PRICE,YEAR,MILES,URL,TITLE,ATTR,IMGLINK,MESSAGE,PRICEPRED
6218144790,2017-07-25 10:23,sfbay,CA,chevrolet,camaro,20000,2010,65000,https://sfbay.craigslist.org/eby/cto/d/camaro-ss/6218144790.html,2010 camaro ss,condition: good#fuel: gas#odometer: 65000#title status: clean#transmission: manual,https://images.craigslist.org/00D0D_lurtPjTbqVD_600x450.jpg,65;000 miles 6 speed stick corsa cat back; frame stiffener; and more#show contact info#no trades.,16980.388631
6194168442,2017-06-26 16:09,sfbay,CA,chevrolet,camaro,4800,2000,122000,https://sfbay.craigslist.org/sby/cto/d/chevrolet-camaro/6194168442.html,2000 chevrolet camaro,condition: good#cylinders: 8 cylinders#fuel: gas#odometer: 122000#paint color: custom#title status: clean#transmission: automatic,https://images.craigslist.org/00P0P_k4DdJyEzjvP_600x450.jpg,2000 camaro z28 122;000 miles; mystic teal metallic; black leather interior; custom rims; t-top; fully loaded. one owner clean title. also have the stock rims for car.any questions please ask.$4800 obo,6448.46116783
6221484031,2017-07-15 18:48,sfbay,CA,chevrolet,camaro,22995,2015,13600,https://sfbay.craigslist.org/nby/cto/d/camaro-lt-lots-of-extraslow/6221484031.html,2015 camaro lt lots of extraslow miles,condition: good#cylinders: 6 cylinders#drive: rwd#fuel: gas#odometer: 13600#paint color: blue#title status: clean#transmission: manual,https://images.craigslist.org/00303_eKot1htjTsS_600x450.jpg,need to find a new home for my baby. low miles. loads of extras#- carbon fiber hood#- carbon fiber rear spoiler#- custom chambered exhaust#- hp tuner flash#- air raid cold air intake#- b & m short throw shifter#- vetesse throttle controler#- curt hidden tow hitch.#-dynod at 274 whp#need to try and get $22995 to pay off loan.#thanks for looking,20285.1631947
6232638100,2017-07-23 13:09,sfbay,CA,chevrolet,camaro,8000,2000,51000,https://sfbay.craigslist.org/eby/cto/d/black-camaro-convertible/6232638100.html,2000 black camaro v6 convertible - super low miles,condition: excellent#cylinders: 6 cylinders#drive: rwd#fuel: gas#odometer: 51000#paint color: black#title status: clean#transmission: automatic#type: convertible,https://images.craigslist.org/00s0s_35qXK1ceFGv_600x450.jpg,2000 black camaro v6 convertible - perfect car for our perfect california weather.#i am the second owner - a family friend originally purchased this car new off the lot. it has spent most of its life garaged and covered; but for the last four years since ive owned it; its been enjoying the great outdoors. i purchased the car with 31;500 original miles on it and it currently has just under 51;000.#vehicle has been regularly maintained and is in excellent condition. the soft top is like new and i have not experienced any problems with raising or lowering it. car recently passed smog; fuel pump and fuel filter were replaced a couple of years ago; and speakers were replaced a few months after i bought it. cooper cobra radial tires are basically brand new and were purchased less than 2 years ago.#photos are from the original owner; so tires shown are not the current ones.#price is $8000 or best offer. no lowball offers please - serious inquiries only.,8290.03101529
6178869275,2017-07-08 20:32,sfbay,CA,chevrolet,camaro,17500,2014,41000,https://sfbay.craigslist.org/eby/cto/d/chevrolet-camaro-lt-for-sale/6178869275.html,2014 chevrolet camaro lt for sale,VIN: 2G1FB3D35E9142182#condition: excellent#cylinders: 6 cylinders#drive: rwd#fuel: gas#odometer: 41000#paint color: blue#size: compact#title status: clean#transmission: automatic#type: convertible,https://images.craigslist.org/00a0a_gEzM5R7Jr98_600x450.jpg,features:#power locks#am/fm stereo#air conditioning#cruise control#cloth seats#power mirrors#alloy wheels#soft top#airbags#automatic#parking sensor;#bluetooth#siriusxm trial available;#remote start#power windows#aux; defroster#abs breaks#power seats#navigation system#traction control#satellite radio ready#rear view camera,16313.0223722
6229412931,2017-07-21 08:43,sfbay,CA,chevrolet,camaro,18500,2010,62739,https://sfbay.craigslist.org/eby/cto/d/camaro-rs/6229412931.html,2010 camaro v6 rs,condition: excellent#cylinders: 6 cylinders#drive: rwd#fuel: gas#odometer: 62739#paint color: silver#size: compact#title status: clean#transmission: automatic#type: coupe,https://images.craigslist.org/01414_8MXKVIVN2Gj_600x450.jpg,up for sale is a very clean 2010 chevy camaro with a v6.#fairly low miles: 62;739. 9k avg per year.#rally sport package(has almost every upgrade excluding the moon roof.)#leather; premium factory sound system; halo headlights; paddle shifters on steering wheel; interior led accent lights; 20inch premium wheels; rear parking sensor; heated seats; power driver seat; cruise control; auto-start; rally stripes from factory and racing stripes i had put on.(can easily be removed.)#i have had the rear windows all blacked out and the two front with a low tint. no problem from the law for this. the tint was done by rockymountain(still have receipt with warranty)#during the week the car is always in a garage throughout the day at my workplace. i commute from discovery bay to pleasanton. with the car i actually average around 20.5 mpg. the car still has 304hp.#always had its oil change. it is coming due for another one. i have either done them myself or had it done by someone.#all of the tires are pretty much new. 2 of them have about 500miles on them and the other 2 have about 2000 miles on them. the difference is because got a flat on two of them. it still has the spare tire brand new.#i have always waxed the car and kept it clean. it has never been smoked in. i am the second owner. the first owner was an old man who passed away after putting about 12k miles on it. i bought it from bmw in concord years ago where his wife had traded it in for a different vehicle.#i always like to know why someone is selling a vehicle. my reason is that i bought a truck. i bought this car when i was 21 and boy i love it. a truck will be more practical for me now because it always me to do the vast amount of projects that i am always working on. i have never had an issue with the car and that is probably because i take such good care of the car.#it has a clean title; i have the pink slip and just got it smogged a week ago.#let me know if you have any questions and would like to setup a time to see the vehicle.,15582.1047188
6178427818,2017-07-13 00:23,sfbay,CA,chevrolet,camaro,10500,2000,99000,https://sfbay.craigslist.org/eby/cto/d/chevy-camaro-ss-slp-package/6178427818.html,chevy camaro ss slp  package mint condition,condition: like new#cylinders: 8 cylinders#drive: rwd#fuel: gas#paint color: white#title status: clean#transmission: manual,https://images.craigslist.org/00K0K_1BhoepzR30m_600x450.jpg,im selling my 2000 chevy camaro ss slp  package  6 speed manual 99k miles clean title  smog and registration up to date  car is super clean one owner   ebony leather interior  looks like new  exterior  no dents or scratches  engine completely stock unmolested but many upgrades on the rest  mods: hotchks  sway bars . koni shocks and struts. 1le ss springs. bmr panhard bar and lower control arms. kenny brown subframe connectors. spohn  adjustable torque arms. 3.73 auburn  differential  17x9 zr1 wheels wrap on  new  bfgoodrich  tires.  bmr shock tower brace . hurst billet plus shifter .  custom shift light   and   the list goes on  for mor info call or text at (510) nine13-six101  asking $10;500 obo only serious inquires  no lowballers,9213.96665472
6222584315,2017-07-16 15:32,sfbay,CA,chevrolet,camaro,7000,1998,110000,https://sfbay.craigslist.org/eby/cto/d/camaro/6222584315.html,1998 z28 camaro,condition: excellent#cylinders: 8 cylinders#drive: rwd#fuel: gas#odometer: 110000#paint color: green#title status: clean#transmission: automatic#type: coupe,https://images.craigslist.org/00q0q_hoSpud600WF_600x450.jpg,forrest green z28 350 hp.  black leather interior.  auto.  just testing the waters.  im in no hurry to sell.  i want this to go to someone who will take care of it; who has done their research and wants a z28.  the price is set at 7g because of its modifications and its overall mechanical condition.  i can easily get more than asking price but i want to be fair and make a quick sale.#it will be very hard to find a z28 that has not been viciously abused.  this one has been babied/ pampered and garaged its entire life.  it was bought off the lot with 5 miles on it (yes 5 miles) when chevy released them in 1998  by a white elderly couple that rarely used it and definitely never drove it hard.  when i purchased this it was completely unmolested.#since then i did some professiinal maintenence and upgrades.  everything is operating perfect and should not have any problems for a long time if maintained properly.#1998 v8 z28 camaro ls1 350hp this was the year with the bigger loped cam#-automatic trans just serviced and taken apart and rebuilt fully.#110;xxx miles. i am the second owner#-new spark plugs#-volant air intake; sealed perfect with new air filter.#-custom slp exhuast (not obnoxious but growls)#-new us 373 gears#-computer flashed and professionally tuned by frost#-fairly new window tint on back hatch and side windows lifetime warranty.#-new black z06 corvette wheels 17x9.5 in all around#- tires fairly new around 70% tread#-new hawk rotors and new racing pads up front#-new water pump#-new serpentine belt with new tentioner#-professionally lowered on h and r springs.  german engineered.#-full synthetic oil changes every 3000 miles with castrol black.#this car is very fast.  its tuned very aggressively and you need to be careful when driving it. nothing wrong with the car whatsoever mechanically.  couple dings and minor scratches from normal use here and there.  can be detailed out to look new.  crack on the winsheild but not bad.   just happened.#call/ text for more details.#keywords:  z28; camaro; z06; corvette; mustang; saleen; firehawk; firebird; ws6; roush; gt; pontiac; gto; muscle car;,7482.12258855
6212472034,2017-07-09 20:03,sfbay,CA,chevrolet,camaro,7000,2001,56000,https://sfbay.craigslist.org/eby/cto/d/chevrolet-camaro/6212472034.html,chevrolet camaro,fuel: gas#odometer: 56000#title status: clean#transmission: manual,https://images.craigslist.org/01414_ehiNiybKSB_600x450.jpg,selling a chevrolet camaro for 7000. its a 2001 5.7 v8 engine. the transmission is mannual everything runs great interior is in good conditions. it has not been used much the miles on it are 56;000. if you are intrested call me at#show contact info,7695.6981017
6202870344,2017-07-23 08:26,sfbay,CA,chevrolet,camaro,15900,2014,23000,https://sfbay.craigslist.org/eby/cto/d/camaro-low-miles/6202870344.html,2014 camaro v6 low miles,condition: excellent#cylinders: 6 cylinders#fuel: gas#odometer: 23000#title status: clean#transmission: automatic,https://images.craigslist.org/00000_iObLqsmNo4u_600x450.jpg,super clean 2014 arctic silver chevrolet camaro with black interior and low 23k miles. powerful 3.6 liter v6 engine; automatic transmission; onstar; 19 alloy wheels; cold a/c; clean carfax; new tags just paid. registered through 2018. clean title in hand. $15;900 call or text,16919.1869816
