PID,POSTTIME,CITY,STATE,MAKE,MODEL,PRICE,YEAR,MILES,URL,TITLE,ATTR,IMGLINK,MESSAGE,PRICEPRED
6204602589,2017-07-04 12:07,sfbay,CA,chevrolet,malibu,2450,2000,124000,https://sfbay.craigslist.org/eby/cto/6204602589.html,2000 chevrolet malibu..low mileage..clean title,fuel: gas#title status: clean#transmission: automatic,https://images.craigslist.org/00C0C_Gn5KaUGVNJ_600x450.jpg,2000 chevrolet malibu...clean title#low mileage 124k#clean title#passed smog#very clean from inside and out side#break and tiers good#automatic transmission#ac and heater working#please call or text me#show contact info,2484.03849424
6173997573,2017-07-06 09:14,sfbay,CA,chevrolet,malibu,9699,2014,66300,https://sfbay.craigslist.org/nby/cto/6173997573.html,2014 chevrolet malibu lt economy silver clean title gas saver,condition: like new#cylinders: 4 cylinders#fuel: gas#odometer: 66300#paint color: silver#title status: clean#transmission: automatic,https://images.craigslist.org/00C0C_19NTo4FVk7S_600x450.jpg,2014 chevy malibu lt economy sliver#mileage: 66;300#color: silver#touchscreen console#onstar capabilities#bluetooth#cd player & mp3 playback#siriusxm satellite radio#usb port#air conditioning/heater#power windows & locks#power seats#cruise control#backup camera#clean car fax#car located in fremont 94538#call#show contact info#ben,10870.1139921
6206641799,2017-07-05 22:37,sfbay,CA,chevrolet,malibu,5480,2009,137129,https://sfbay.craigslist.org/sby/cto/6206641799.html,chevrolet malibu hybrid chevy 2009,condition: excellent#cylinders: 4 cylinders#fuel: hybrid#odometer: 137129#paint color: white#title status: clean#transmission: automatic,https://images.craigslist.org/00a0a_6jalcajHWH6_600x450.jpg,selling 2009 chevy malibu hybrid with 138k miles#car is very clean drives extremely smooth.#tires are new.#holds clean title and clean carfax history.#selling for only $5480#it comes with 1 month 1000 miles free warranty.#vin 1g1zf57509f147149#sedan 4 dr#2.4l l4 mpi dohc 16v#hybrid#front wheel drive#it is for sale from dealership#tel:#show contact info#tag: prius; hybrid; insight;,5595.42855867
6162374021,2017-07-03 17:13,sfbay,CA,chevrolet,malibu,4900,2008,114500,https://sfbay.craigslist.org/sfc/cto/6162374021.html,2008 chevrolet malibu hybrid,condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: hybrid#odometer: 114500#paint color: blue#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00D0D_17EntPH3N9n_600x450.jpg,2008 chevrolet malibu hybrid 114k miles clean title one owner runs strong no issues for more info call#show contact info,4602.82511907
6195397790,2017-06-27 13:30,sfbay,CA,chevrolet,malibu,12500,2016,5157,https://sfbay.craigslist.org/eby/cto/6195397790.html,2016 chevrolet malibu ltz sedan,cylinders: 4 cylinders#fuel: gas#odometer: 5157#title status: rebuilt#transmission: automatic,https://images.craigslist.org/00Q0Q_jpEEi6e0Lvn_600x450.jpg,2016 chevrolet malibu ltz new body sedan 4 door#miles : 6;145#engine: 4-cly- 2.0t#drive:front -wheel drive#price : 12;500#title: salvage due to small accident in the rear#this is a nice and clean car ; if you are interested please call me at#show contact info,14262.360458
6204437806,2017-07-04 10:07,sfbay,CA,chevrolet,malibu,1600,2006,240000,https://sfbay.craigslist.org/eby/cto/6204437806.html,2006 chevrolet malibu $1800 obo,fuel: gas#odometer: 240000#title status: clean#transmission: automatic,https://images.craigslist.org/00000_6x4TxhNdREr_600x450.jpg,runs and drives a great . pass smog . clean title . power windows . power doors locks . cd player ac works .#show contact info,2053.65133527
6206686770,2017-07-05 23:53,sfbay,CA,chevrolet,malibu,900,2001,131340,https://sfbay.craigslist.org/nby/cto/6206686770.html,2001 chevy malibu ls for sale!!,VIN: 1G1NE52J316184464#condition: fair#drive: fwd#fuel: gas#odometer: 131340#paint color: custom#size: mid-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00808_4e19QB0bbEb_600x450.jpg,i own a 2001 golden chevy malibu ls and is up for sale asap. the car has a clear title and is available for a test drive anytime after 4 pm (mon-fri). the car drives but is old with a few scratches here and there and is on sale in as is condition.,2348.47707968
6206673768,2017-07-05 23:19,sfbay,CA,chevrolet,malibu,6500,2013,90000,https://sfbay.craigslist.org/eby/cto/6206673768.html,2013 chevy malibu,condition: good#fuel: gas#title status: clean#transmission: automatic,https://images.craigslist.org/00n0n_8YReHTDjhXc_600x450.jpg,2013 chevy malibu for sale. runs great! 90k miles; clean title! interior clean! located at 2505 devpar ct. antioch 94509. for more info call#show contact info#mon-fri only. asking $6500!,8056.43096057
6147195093,2017-06-23 13:39,sfbay,CA,chevrolet,malibu,3300,2002,178000,https://sfbay.craigslist.org/eby/cto/6147195093.html,2002 chevrolet malibu ls,condition: good#cylinders: 6 cylinders#drive: fwd#fuel: gas#odometer: 178000#paint color: silver#size: mid-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00i0i_NOzKC8DK7C_600x450.jpg,2002 malibu; automatic; power windows; locks; mirrors; seat; cruise control; alloy wheels; good tires; cold ac.#car runs and drives well; fresh smog; tags good to feb 2018.#keyless entry with 2 remotes and 2 factory transponder keys.#comes with owners manual.#this car is in great shape for its age and has been well taken care of.#the car has a brand new battery; windshield and coolant reservoir.#call dave#show contact info,2401.69443796
6180353281,2017-06-16 21:31,sfbay,CA,chevrolet,malibu,13900,2015,65000,https://sfbay.craigslist.org/scz/cto/6180353281.html,chevrolet malibu 2015,fuel: gas#title status: clean#transmission: automatic,https://images.craigslist.org/00N0N_lchY2duyGHl_600x450.jpg,2015 chevrolet malibu#in excellent condition#65;000 miles#clean inside out#clean car fax#clean tittle#call me at#show contact info#excellent condition.,12882.8610257
