PID,POSTTIME,CITY,STATE,MAKE,MODEL,PRICE,YEAR,MILES,URL,TITLE,ATTR,IMGLINK,MESSAGE,PRICEPRED
6164896751,2017-06-22 14:44,sfbay,CA,ford,escape,700,2006,165000,https://sfbay.craigslist.org/eby/cto/d/ford-escape/6164896751.html,2006 ford escape,fuel: gas#title status: missing#transmission: automatic,https://images.craigslist.org/00C0C_d1gKqAHacTB_600x450.jpg,2006 ford escape ; runs and drives but motor has a knock.#4 cylinder  2wd automatic#power windows and locks ; key-less entry#aftermarket alpine stereo#has some front end damage from previous accident#newer radiator ; ac condenser ; tires have good tread#some back fees on registration#asking 700 obo#165k  miles#clint#show contact info,1334.65135818
6210097446,2017-07-10 11:37,sfbay,CA,ford,escape,4500,2006,132000,https://sfbay.craigslist.org/eby/cto/d/ford-escape/6210097446.html,2006 ford escape,fuel: gas#odometer: 132000#title status: clean#transmission: automatic,https://images.craigslist.org/01111_fgEyZk7cgVc_600x450.jpg,2006 ford escape v6#132000 miles#clean inside#runs great#looks great#clean title,4385.33045675
6219888695,2017-07-14 16:27,sfbay,CA,ford,escape,3500,2004,136000,https://sfbay.craigslist.org/nby/cto/d/ford-escape-clean-and-runs/6219888695.html,2004 ford escape   clean and runs great,VIN: 1FMYU03B33959#condition: excellent#cylinders: 6 cylinders#drive: fwd#fuel: gas#odometer: 136000#paint color: red#size: mid-size#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00s0s_dWpxkIl0ZGq_600x450.jpg,value added used car; new timing chain all new fluids battery and tune-up parts for peak performance.  added bonus with this clean escape-new tires and new front kyb struts for smoother ride. top running suv with none of the needed repairs that come with a used vehicle. just drive and enjoy.#high performance v6 ; auto trans.  am-fm-stereo w/input for ipod/phone .#engine gets better mileage than larger size suvs so easier on your wallet.   back seats fold down flat for more cargo space. interior is very clean.,3832.13473959
6224392043,2017-07-17 20:01,sfbay,CA,ford,escape,12500,2013,66300,https://sfbay.craigslist.org/eby/cto/d/ford-escape-se/6224392043.html,2013 ford escape se,condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 66300#paint color: black#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00b0b_98Rhq5YtXwy_600x450.jpg,this 2013 escape suv is in excellent condition (inside and out) and has been consistently maintained. it has been garage kept and mostly highway driven. the vehicle has had no mechanical issues or accidents of any kind. it looks great and drives well.  carfax report is available on request.  clear title. registration paid through january 2018.#this is a excellent family vehicle with 40/60 split folding rear seats and latch tethering system for car seats.#year: 2013#make: ford#model: escape#trim: fwd 4dr se#mileage: 66;300 miles#transmission: automatic#exterior color: black#interior color: black/gray#series: fwd 4dr se#drivetrain: front wheel drive#condition : excellent#engine: 4 cylinder; 1.6l 178.0hp#available for showings 7/22 at danville pd.  email with questions and to set-up showing.,12986.8907286
6220748208,2017-07-18 14:48,sfbay,CA,ford,escape,5800,2008,157500,https://sfbay.craigslist.org/eby/cto/d/ford-escape-hybrid-very/6220748208.html,2008 ford escape hybrid    very nice suv  ( lqqk here ),condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: hybrid#odometer: 157500#paint color: green#size: full-size#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00y0y_RavlhLuNxY_600x450.jpg,2008 ford escape hybrid#light green color - color looks even better in person  very clean#automatic 4 cylinder hybrid gas saver#157;500 original miles#just smogged - everything works   fully registered and paid#$5800 firm   51o-4o6 o0o9#( can view anytime in antioch ca. - if you see this ad its available; all messages asking if its for sale will be ignored)#no brokers or sales people need respond; i dont need help selling this#highlander prius mariner mercury camry corolla honda toyota gas saver,5518.84059856
6195181878,2017-07-05 13:14,sfbay,CA,ford,escape,12900,2012,69690,https://sfbay.craigslist.org/sby/cto/d/ford-escape-xlt-awd-under/6195181878.html,2012 ford escape xlt v6 awd-under 70k miles,VIN: 1FMCU9DG5CKB79105#condition: good#cylinders: 6 cylinders#drive: 4wd#fuel: gas#odometer: 69690#paint color: red#size: compact#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00H0H_9urtvXsGtfK_600x450.jpg,for sale - my 2012 ford escape xlt v6 awd with 69.7k miles; $12;900 obo. details below#background##i purchased the vehicle certified pre-owned from ford in september 2015 with 43.9k miles; and have a carfax available from time of purchase showing two previous owners and timely dealer maintenance visits before i owned it. i have carried on taking good care of the car and using it for daily commute and occasional work use; with regular and thoughtful maintenance; protection; and cleaning.#description##the vehicle is torreador red metallic over black cloth interior with the sync & sun package (microsoft sync with bluetooth; usb; aux; voice commands; etc.  power glass moonroof) and towing package (transmission oil cooler; trailer wiring; and hitch receiver). it has the 3.0 liter v6 engine with 240 hp and 223 ft-lbs. of torque connected to the 6-speed automatic ford 6f35 transmission and full-time awd.#maintenance##the following maintenance has been performed:#-oil and filter changes performed per the vehicles oil life monitor; oil and filter changed recently.#-automatic transmission fluid drain and fill at 50k miles and 69k miles with recommended mercon lv fluid#-rear diff fluid drain and fill at 50k miles#-spark plugs including new intake manifold gaskets at 60k miles#-new michelin premier ltx tires (not shown in photos; replaced a few days ago). the top of the line tire choice for this size and use!#-new ac compressor; blower motor resister; ac compressor resistor; and recharge. oem system failed due to ac compressor resistor failing leading to a high-pressure situation in the system. the entire system has been replaced with all oem parts by a reputable independent shop (renson automotive; campbell) and the underlying issue that caused the failure was addressed.#-brake fluid freshly flushed last week with bosch dot 5.1 fluid (back-compatible with dot 3 and 4 systems; but higher resistance to temperature and brake fade)#-cloth seats steam-cleaned and fabric-guarded once per year (most recently last week)#-clean smog in hand and ready to sell#minor mods##-tinted windows from previous owner; approximately 35% transmittance on rear seat windows and 20% transmittance on cargo area glass; front side windows and windshield appear stock. does a great job at keeping the heat out!#-ford motorcraft accessory mud splash guards#-full weathertech mat set including cargo mat; including windshield sunshade.#-installed two cargo holddowns in the trunk area (car came without any holddowns or attachment points stock)#niggles##-the car has an outstanding recall notice from ford (ford seems to take awhile to getting recall parts in to dealers) to fix something in the fuel delivery system; parts are not available yet; i will provide the recall notice letter to the buyer.#-someone turned left into the lower right rear door with their fender at low speeds. its an indiscrete scuff (look for it in the photos!) and i never got it fixed. i personally dont think its worse than the...#-quarter-sized door ding on the driver door under the handle. that was from a previous owner.#-gen 1 sync will crash on you occasionally; and i will want to show the buyer which fuse to pull and reset when its being particularly tempermental...that said; ive generally been impressed with its overall reliability vs its reputation; and its nice to have good bluetooth for hands-free phone and streaming audio; aux in; and a powered usb port and input for other devices...i use it to run a gen 7 ipod classic. i dont know if it does or does not work with other devices; but youre free to bring your device and cable along on a test drive and we can try it :),11029.9945339
6215283774,2017-07-11 15:23,sfbay,CA,ford,escape,12799,2013,70500,https://sfbay.craigslist.org/eby/cto/d/ford-escape-sel-miles/6215283774.html,2013 ford escape sel - 70k miles; leather; all the bells and whistles,VIN: 1FMCU0H90DUD70931#condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 70500#paint color: grey#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00f0f_jwCzIf2VgM1_600x450.jpg,2013 ford escape sel; in excellent condition!  this car has all the fun stuff; leather heated seats; ford sync; panoramic sunroof; bluetooth connection and has been very well taken care of.   owned by a non-smoker and never in an accident.  title is clean!#here is the autotrader ad:#https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?lnxpsemaillead&listingid461589307&searchradius0,12976.3939098
6188672926,2017-06-22 16:11,sfbay,CA,ford,escape,9000,2012,125000,https://sfbay.craigslist.org/eby/cto/d/ford-escape-xlt/6188672926.html,2012 ford escape xlt,condition: like new#cylinders: 6 cylinders#drive: 4wd#fuel: gas#odometer: 125000#paint color: white#size: mid-size#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00p0p_j7lj3fAvRBJ_600x450.jpg,selling my ford escape.#i originally got this vehicle off a friend that had a valve go bad in the cylinder head & had the car sit.#i purchased the vehicle & replaced the engine & all the fluids. all services are up to date!#tires are like new. interior is in great shape & clean.#flex fuel vehicle. you can run pump gas or e85,8855.09115153
6187143382,2017-06-21 15:54,sfbay,CA,ford,escape,8000,2010,130572,https://sfbay.craigslist.org/sby/cto/d/ford-escape/6187143382.html,2010 ford escape,condition: excellent#cylinders: 6 cylinders#drive: fwd#fuel: gas#odometer: 130572#paint color: silver#size: mid-size#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00T0T_3xeWB8Jdhf6_600x450.jpg,very reliable car. ready to rock and roll. great for the family. just no need for it anymore. please serious offers only. text me please any time. i probably wont be able to talk on the phone because of work. if you need to call; dont call me monday-friday 7-3:30 because of work. any time before or after would work. call or text anytime during weekends. $8;000 obo#phone number is#show contact info#truck suv kids ford dodge chevy duramax cummins jeep honda kia toyota car v6 sedan pickup hatchback,7866.77595251
6183484869,2017-06-19 09:30,sfbay,CA,ford,escape,7000,2011,92000,https://sfbay.craigslist.org/nby/cto/d/ford-escape/6183484869.html,ford escape,condition: good#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 92000#paint color: black#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00J0J_eVPeTHzqe7t_600x450.jpg,ford escape 2011 92000 mi ruun good 4 cil save gas new tires y battery,7139.63073092
