PID,POSTTIME,CITY,STATE,MAKE,MODEL,PRICE,YEAR,MILES,URL,TITLE,ATTR,IMGLINK,MESSAGE,PRICEPRED
6207884766,2017-07-06 16:39,sfbay,CA,ford,focus,500,2001,60041,https://sfbay.craigslist.org/eby/cto/d/ford-focus/6207884766.html,2001 ford focus,fuel: gas#odometer: 60041#title status: clean#transmission: automatic,https://images.craigslist.org/00e0e_2SIrddJ4q9X_600x450.jpg,2001 ford focus#needs a new engine to get it running; so will need to be towed.#engine threw a rod so its pretty much done. car itself has a clean title on hand and low miles.#new battery installed.#feel free to email me for questions and offers,3765.94924249
6210826701,2017-07-08 14:57,sfbay,CA,ford,focus,900,2006,98762,https://sfbay.craigslist.org/eby/cto/d/ford-focus-mechanic-special/6210826701.html,2006 ford focus mechanic special,condition: good#fuel: gas#odometer: 98762#paint color: grey#size: compact#title status: clean#transmission: manual#type: sedan,https://images.craigslist.org/00z0z_a5TEsrD720r_600x450.jpg,900 or best offert needs work 5speed low miles less than 99;000. good body; good paint; good tires.  call#show contact info#sport#hablo espanol,3468.25274609
6216815839,2017-07-14 16:03,sfbay,CA,ford,focus,2200,2012,80000,https://sfbay.craigslist.org/pen/cto/d/ford-focus-automatic-clean/6216815839.html,2012 ford focus automatic clean title low miles mechanic special,condition: good#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 80000#paint color: red#size: mid-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00P0P_8ceRhJBCwI9_600x450.jpg,no frame damaged#no airbags deployed#good engine#check engine light on p07a3/ p2872#good tires and brake#runs and drives#some body work need it#still clean title#test drive ?#80.000 miles,6507.30424382
6203793301,2017-07-03 18:38,sfbay,CA,ford,focus,8100,2012,73000,https://sfbay.craigslist.org/nby/cto/d/ford-focus-sel/6203793301.html,2012 ford focus sel,cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 73000#paint color: grey#size: compact#title status: clean#transmission: automatic#type: hatchback,https://images.craigslist.org/00Q0Q_7VZ4BPDRbC1_600x450.jpg,selling my 2012 ford focus 4 dr with hatchback. gets great gas mileage 32 mpg!#has 73000! miles. in great condition!#asking $8100#please call mike at#show contact info#if interested!#thx#mike,8082.83929895
6219804938,2017-07-14 15:24,sfbay,CA,ford,focus,4700,2008,90400,https://sfbay.craigslist.org/eby/cto/d/ford-focus-se/6219804938.html,2008 ford focus se,condition: good#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 90400#paint color: red#size: compact#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00T0T_fqG8rOsTw0R_600x450.jpg,4 door sedan se; very good condition; 2.0l dohc engine; automatic; ford sync system; cruise control; am/fm stereo; cd/mp3; abs brakes; pzev emissions; alloy wheels; power windows; door locks; power dual mirrors; remote keyless entry; securilock pass anti theft; side air bags; curtains; cloth seats; tire pressure monitoring system; new battery & 2 new rear tires; full size spare tire; original owner; very good economical car; 24 mpg city; hwy 33 mpg;  90k miles,3888.53322769
6185293237,2017-07-14 10:17,sfbay,CA,ford,focus,11000,2014,55130,https://sfbay.craigslist.org/eby/cto/d/ford-focus-se-low-miles/6185293237.html,2014 ford focus se low miles - like new,fuel: gas#odometer: 55130#title status: clean#transmission: automatic,https://images.craigslist.org/00v0v_jtt1eSeicYL_600x450.jpg,selling a 2014 ford focus se with only 55k miles. the car looks and drives like new. has built in bluetooth and power pkg. very nicely equipped car for the price. clean title car has very good paint and immaculate interior. perfect first car. offered by dealer so financing may be an option if you want. to view the vehicle please text or call to set up appointment#show contact info#price does not include tax and license,9604.86948532
6219544926,2017-07-14 12:49,sfbay,CA,ford,focus,38000,2016,11600,https://sfbay.craigslist.org/sfc/cto/d/focus-rs-white-moonroof-rs/6219544926.html,2016 focus rs - white / moonroof / rs2 - extras,VIN: WF0DP3TH2G4114095#condition: like new#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 11600#paint color: white#size: compact#title status: lien#transmission: manual#type: hatchback,https://images.craigslist.org/00j0j_h1h7VGdgSV4_600x450.jpg,need a truck; so im regretfully putting my rs up for sale. i assume if you are looking at the car you know a bit about it; so i will spare you from a long paragraph detailing how much i love the car. it is everything the reviews say it is king of the hot-hatches.#overview/options:#2016 ford focus rs#white#rs2 package#moonroof#11;600 miles (it is my daily driver; mileage will slowly continue to climb)#never raced or tracked. no mechanical/electrical/powertrain issues; its been a gem. i baby all my vehicles; oil was changed at 200 miles; 6k miles; and 11k miles using fords recommended synthetic oil. changed filter on first day; changed plugs at 10k. no coolant loss; no leaks. car is clayd every 4 months; waxed every 2 months; kept clean weekly.#does have one area with paint damage on the rear bumper from someone who hit and ran on me while i was parked. not bad but it sure did piss me off (shown in last two images).#price:#i have two options for serious buyers. i can revert the car totally back to stock and will sell it at 38k or for 41k i will give you all the stuff i have installed or have waiting brand new to install. extras are as follows;#installed:#cobb accessport/ tune  91 map - 650#mountune high flow induction kit - 500#mountune quick shift - 200#muteki sr48 open end lock set (black) - 100#redline tuning quicklift plus hood struts - 100#rokblokz mudflaps (black on black) - 90#custom lathewerks shift knob (vip elite w/ options) - 195#tint (20% all) - 300#vinyl roof wrap (gloss black) - 300#craven speed antenna (stubby jr w/ rs engraving) - 35#boomba dipstick (aluminum) - 40#boomba oil cap (aluminum) - 40#boomba brake fluid cap (aluminum) - 37#boomba coolant cap (aluminum) - 37#boomba hood latch (aluminum) - 50#fumoto sx107 oil drain valve - 40#dmb inlays (spoiler; front; back; air box; start button) - 50#diode dynamics lighting - everything -300#pedal spacer - 20#awaiting installation:#mountune charge pipe kit - 550#mountune sound suppressor - 60#mountune rear motor mount - 160#boomba short throw shifter - 175#boomba transmission bracket bushing kit - 30#torque solution shifter base bushing kit - 25#goodridge stainless steel brake lines - 155#turbosmart kompact shortie dual port bov - 180#tune wga- 140#tune spark plugs - 45#ets intercooler (black) - 735#cooltech rear license bracket - 40#total cost of extras  5;380.00. probably forgetting some things as well#so stock for 38k; or 3k more for everything listed above (of course i will also include all stock parts).#i also have all the fancy rs special owner package stuff they sent me.#price is firm.#there is a note on the car; so there are two ways of handling the sale/transfer of title.#1.) if paying cash we can go to my financial institution and pay it off; granting you the title; and ill take the remainder.#2.) if you want to finance through your own financial institution we can have our banks/credit unions transfer the note and ill take the remainder via check from your financial institution (ive done this before; its pretty painless and a good legit way to go if you dont have all the money upfront)#i will not take partial payments of any kind; and am only interested in trades for nicely optioned modern style f150 supercrew lariats with similarly low mileage.#thanks for stopping by and if you are serious shoot me an email. no test drives without cash in hand; sorry.#cheers,30342.1831936
6213825361,2017-07-13 09:07,sfbay,CA,ford,focus,6995,2014,85000,https://sfbay.craigslist.org/eby/cto/d/ford-focus-se/6213825361.html,2014 ford focus se,condition: good#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 85000#paint color: black#size: compact#title status: clean#transmission: automatic#type: hatchback,https://images.craigslist.org/00m0m_liC0cjsTPZ9_600x450.jpg,2014 ford focus se. 85k mostly highway miles. 34 mpg; cold a/c; automatic transmission; new tires; tags paid until 7-18#please no sales calls; lowballers or any other bs out there. car is located in pleasanton.,7493.96683951
6195875032,2017-07-14 10:13,sfbay,CA,ford,focus,6500,2013,63950,https://sfbay.craigslist.org/eby/cto/d/ford-focus/6195875032.html,ford focus 2013,condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 63950#paint color: red#size: sub-compact#title status: clean#transmission: automatic#type: coupe,https://images.craigslist.org/01616_faC7vAI7Hnq_600x450.jpg,hello craigslist we have a 2013 ford focus for sale this car is equipped with ford my sync technology with bluetooth connectivity. this car has 63;950 original miles on it and was smogged on 6/21/17. this car is also registered until 1/2018. we are asking 6500.00 or best offer. you can call phil at family tow or come by our shop at 10249 macarthur blvd in oakland.,8701.62432909
6213728125,2017-07-10 15:10,sfbay,CA,ford,focus,5850,2012,117500,https://sfbay.craigslist.org/nby/cto/d/ford-focus-hatchback-sel/6213728125.html,2012 ford focus hatchback sel,condition: excellent#cylinders: 6 cylinders#drive: fwd#fuel: gas#odometer: 117500#paint color: white#size: mid-size#title status: clean#transmission: automatic#type: hatchback,https://images.craigslist.org/00J0J_lDKIWMbrWmP_600x450.jpg,great commuter. reliable. like new tires.,5939.17467357
