PID,POSTTIME,CITY,STATE,MAKE,MODEL,PRICE,YEAR,MILES,URL,TITLE,ATTR,IMGLINK,MESSAGE,PRICEPRED
6196635134,2017-06-28 11:37,sfbay,CA,ford,taurus,1100,1999,75369,https://sfbay.craigslist.org/nby/cto/d/ford-taurus/6196635134.html,ford taurus 1999,condition: fair#cylinders: 6 cylinders#fuel: gas#odometer: 75369#paint color: blue#title status: clean#transmission: automatic#type: wagon,https://images.craigslist.org/00D0D_bL5U4OKAqkz_600x450.jpg,i am selling my first car; a 1999 ford taurus se station wagon with only 75;369 miles on it. the car is in good running condition and has been maintained well. while the car easily gets me where i need to go; there are some things that may need to be looked at in the near future: the steering is a little squeeky. the front tires will need to be replaced soon as well and theres some cosmetic damage as seen in the pictures. these things taken into account; i have lowered the price to $1;100 cash only for the car to get it sold fast. its taking up space on my street and i dont use it often enough to justify that.#power seats#leather interior#low mileage (75;369)#brand new battery (can show you the receipt)#smog certificate in hand#owned by non smoker#clean title in hand#continuously registered in california#carfax report#i am firm on the price. the car is well worth it.#thanks!,1393.94028976
6219644518,2017-07-14 13:37,sfbay,CA,ford,taurus,3900,2007,115000,https://sfbay.craigslist.org/eby/cto/d/ford-taurus-sel-sedan/6219644518.html,2007 ford taurus sel sedan 4d,condition: good#cylinders: 6 cylinders#fuel: gas#odometer: 115000#paint color: blue#size: mid-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00909_2p9Vp6HvpnK_600x450.jpg,2007 ford taurus sel sedan 4d 6-cylinder 3.0l automatic#air conditioning; power windows; power door locks; power steering; power seat; cd (single disc); premium sound; moon roof; premium wheels.#115k original miles; clean title; passed smog inspection; adult owned; well maintained; 2-owner vehicle.#asking $3;900. vehicle is currently being shown on consignment with joe at mrs. bs auto wholesale in livermore. for more information please contact him at#show contact info#thank you.,3518.66230528
6209653567,2017-07-07 19:34,sfbay,CA,ford,taurus,3980,2007,115000,https://sfbay.craigslist.org/eby/cto/d/ford-taurus-sedan-sel/6209653567.html,2007 ford taurus sedan sel 4d automatic -leather -low miles,condition: good#cylinders: 6 cylinders#fuel: gas#odometer: 115000#paint color: blue#size: mid-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00E0E_k3abhJTctJM_600x450.jpg,2007 ford taurus sel sedan 3.0l v6 4d automatic#air conditioning; full power; tilt wheel; cruise control; premium sound; auxiliary cord; dual air bags; leather; moon roof; premium wheels.#115k original miles; clean title; passed smog check; locally owned; adult maintained; 2-owner.#asking $3;980. vehicle is currently being shown on consignment in livermore with mrs. bs auto. for more information please contact them at#show contact info#thank you.,3280.15054365
6199591120,2017-06-30 13:54,sfbay,CA,ford,taurus,2700,2007,125000,https://sfbay.craigslist.org/pen/cto/d/ford-taurus/6199591120.html,ford taurus 2007,condition: excellent#cylinders: 6 cylinders#drive: 4wd#fuel: gas#odometer: 125000#paint color: green#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00202_29jW0QFycy9_600x450.jpg,very good car; new tires; has smogged check and clean interior.#had some dents but not bad and some chip paints also not bad.,3337.35087188
6202151076,2017-07-02 14:30,sfbay,CA,ford,taurus,1350,2002,125000,https://sfbay.craigslist.org/eby/cto/d/ford-taurus-for-sale/6202151076.html,2002 ford taurus for sale,condition: fair#fuel: gas#odometer: 125000#paint color: grey#title status: clean#transmission: automatic,https://images.craigslist.org/00H0H_cLvKRPdcUSg_600x450.jpg,125k miles#-busted up on passenger headlight side#-a/c doesnt work#-tape recorder does not work but radio does#-leak and low coolant light on#-other issues according to midas#(1) left front half shaft replacing#(2)belt tensioner replacing#(3)auto transmission fluid exchange#-to repair everything is a little over $1;000#-short term leak fix is needed asap; after that the car is fine to drive#-great commuter car#-good engine#-oil consistently changed along with air filter#-new passenger headlight installed,937.094095588
6179183601,2017-06-16 07:18,sfbay,CA,ford,taurus,1200,2004,136000,https://sfbay.craigslist.org/pen/cto/d/ford-taurus-se/6179183601.html,2004 ford taurus se,condition: fair#cylinders: 6 cylinders#drive: fwd#fuel: gas#odometer: 136000#title status: clean#transmission: automatic,https://images.craigslist.org/00000_1p02d7JN55z_600x450.jpg,2004 ford taurus se for sale:#-136k miles#-power windows#-power door locks#-smogged#-clean title#needs alignment and ac compressor. engine and transmission runs great#$1200 out the door. registration and tax included#mak motors#show contact info,787.068628326
6218650774,2017-07-13 20:49,sfbay,CA,ford,taurus,3700,1999,86000,https://sfbay.craigslist.org/scz/cto/d/ford-taurus-low-miles/6218650774.html,1999 ford taurus low miles,condition: like new#drive: fwd#fuel: gas#odometer: 86000#title status: clean#transmission: automatic,https://images.craigslist.org/00S0S_1ag3KCQubZx_600x450.jpg,1999 ford taurus#only 86k-freeway miles#excellent condition#drives perfect; needs nothing.#automatic and 6 seats#clean title and just smogged.#call or text me at 4o8-47l-8854,2388.42940505
6218636274,2017-07-13 20:29,sfbay,CA,ford,taurus,975,1997,184000,https://sfbay.craigslist.org/sby/cto/d/taurus-gl/6218636274.html,97 taurus gl 3.0 v6,condition: good#cylinders: 6 cylinders#drive: fwd#fuel: gas#odometer: 184000#paint color: blue#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00Z0Z_d3Ubwu3EFrX_600x450.jpg,i have a clean inside n out maybe a few  dings maybe one or 2 inside is clean 8/10.clean title registered till october  2017 doesnt need anything.just jump im n. drive,1209.02783086
6191471249,2017-06-24 14:51,sfbay,CA,ford,taurus,1590,2001,111000,https://sfbay.craigslist.org/eby/cto/d/silver-taurus-only-miles/6191471249.html,silver taurus only111;000 miles.,fuel: gas#title status: clean#transmission: automatic,https://images.craigslist.org/00a0a_9OQuWZkZE90_600x450.jpg,2001 ford taurus ses#111;290 miles#automatic#air#heat#power steering#power windows#power locks#power mirrors#power seats#sunroof#cruise#tilt#am/fm/cd#new tires#runs fantastic#very safe and dependable,1587.44945282
6221080204,2017-07-15 14:51,sfbay,CA,ford,taurus,2400,2006,121423,https://sfbay.craigslist.org/eby/cto/d/ford-taurus-sel-clean-title/6221080204.html,2006 ford taurus sel clean title low miles,condition: good#fuel: gas#odometer: 121423#title status: clean#transmission: automatic,https://images.craigslist.org/00s0s_bigbDtJuGEI_600x450.jpg,2006 ford taurus sel runs good without any mechanical problem#clean title#miles 121423#pass smog check#automatic transmission#power windows & locks ; cruise control; ac#please call text#show contact info,1996.87204566
6221681490,2017-07-16 01:00,sfbay,CA,ford,taurus,3300,2007,81000,https://sfbay.craigslist.org/eby/cto/d/ford-taurus/6221681490.html,2007 ford taurus,VIN: 1FAFP53U67A124091#condition: like new#cylinders: 6 cylinders#drive: fwd#fuel: gas#odometer: 81000#paint color: silver#size: mid-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/01111_hEHS7WGPQv_600x450.jpg,i am selling a 2007 ford taurus super super clean with very low miles it has on the 81000 mile power locks power window recently smog it runs very small if anyone interested please call me or text me#show contact info#thanks,3572.27893875
