PID,POSTTIME,CITY,STATE,MAKE,MODEL,PRICE,YEAR,MILES,URL,TITLE,ATTR,IMGLINK,MESSAGE,PRICEPRED
6181581216,2017-07-08 20:02,sfbay,CA,nissan,altima,3500,2003,109000,https://sfbay.craigslist.org/eby/cto/6181581216.html,2003 nissan altima,condition: good#cylinders: 4 cylinders#fuel: gas#title status: clean#transmission: automatic,https://images.craigslist.org/00202_l2Djxq1EL2F_600x450.jpg,located in tracy; ca.....selling my 2003 nissan altima; its a canadian car already registered here in california.  gray color; leather interior; sunroof; seat warmer; car shows 174xxx kilometers which is about 109;000 miles. motor was replaced back in feb. 2017 with 80;000 miles on it. catalytic converter changed in jan.2017. clean tittle; automatic. asking $ 3500 . call or text#show contact info#for more info. se habla espanol. clean tittle. pink slip in hand,3005.91389229
6211128761,2017-07-08 19:56,sfbay,CA,nissan,altima,4000,2005,170000,https://sfbay.craigslist.org/eby/cto/6211128761.html,2005 nissan altima,fuel: gas#odometer: 170000#title status: clean#transmission: manual,https://images.craigslist.org/00101_dCh07EwVkvL_600x450.jpg,2005 nissan altima shes a beauty clean new fuel pump#ready for a new home#4000 or best offer,3322.72229219
6211116870,2017-07-08 19:41,sfbay,CA,nissan,altima,6000,2007,133200,https://sfbay.craigslist.org/eby/cto/6211116870.html,2007 nissan altima 2.5s white,VIN: 1N4AL21E97N484075#condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 133200#paint color: white#size: mid-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00p0p_lLTHWu8PHZ6_600x450.jpg,hello; im selling my 2007 nissan altima 2.5s 4d white with only 133k original miles on it; mechanically in great condition; car runs perfectly fine not problems with engine or transmission; 4cyl engine great car to commute; clean and well maintain inside and body in good shape. clean title. smart key less entry.no mechanical problems.#i have brand new car floor mat original nissan $100; brand new wheel cover $200; and registered $118 till aug. 2018 never used.#total $ 418#run great.#test any time.#text me any time#serious buyers only please#thank you#jin,5361.38080171
6211090229,2017-07-08 19:08,sfbay,CA,nissan,altima,8000,2012,55375,https://sfbay.craigslist.org/sby/cto/6211090229.html,2012 nissan altima 2.5 s - sedan 4 dr - silver color - $8;000,condition: good#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 55375#paint color: silver#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00N0N_ayQ8PX68Anz_600x450.jpg,2012 nissan altima 2.5s sedan 4d @ $8000#mileage: 55375 miles#car registration valid till apr 2018#brand new battery#exterior color: brilliant silver#interior color: black (cloth),9294.00106209
6210880369,2017-07-08 15:41,sfbay,CA,nissan,altima,7985,2012,55000,https://sfbay.craigslist.org/sby/cto/6210880369.html,2012 nissan altima; 55k miles;body very good;2.5l;4 cyls;clean title;1,fuel: gas#title status: clean#transmission: automatic,https://images.craigslist.org/00R0R_djidriPWTMm_600x450.jpg,2012 nissan altima; 55k miles;body very good;2.5l;4 cyls;clean title;1 owner#$7985#power window;4 tires like new#vin: 1n4al2ap8cn531866#auto transmission#pass smog#190 welburn ave#gilroy; ca 95020#body is very good;clean inside and out; run excellent#show contact info#call only#credit card ok,8940.17200477
6200723715,2017-07-08 12:36,sfbay,CA,nissan,altima,15900,2016,21000,https://sfbay.craigslist.org/eby/cto/6200723715.html,2016 nissan altima low miles 21k,condition: like new#cylinders: 4 cylinders#fuel: gas#odometer: 21000#paint color: white#title status: clean#transmission: automatic,https://images.craigslist.org/00b0b_62e8nLT82yb_600x450.jpg,2016 nissan altima#one owner#no accidents#condition: excellent#cylinders: 4 cylinders#fuel: gas#odometer: 21;000#paint color: white#back up camera#am/fm/cd#title status: clean#transmission: automatic#if interested call this number-#show contact info,14830.208409
6210554903,2017-07-08 11:49,sfbay,CA,nissan,altima,10500,2010,82000,https://sfbay.craigslist.org/sby/cto/6210554903.html,2010 nissan altima hybrid clean carfax low miles tinted windows,VIN: 1N4CL2AP6AC111038#condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 82000#paint color: black#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00q0q_5pameHubVFd_600x450.jpg,got a new car thats a hybrid so do not need a 2nd commuter car.#2010 nissan altima hybrid - purchased brand new 3/2009#only 1 owner#low miles: 82xxx (9100/year)#clean carfax (see pictures)#exterior: black#interior: gray#mpg city/hwy: 35/33#push-button start#tinted windows#registration paid through march 2018#only california driven,8847.8986972
6210555987,2017-07-08 11:50,sfbay,CA,nissan,altima,6000,2007,146051,https://sfbay.craigslist.org/pen/cto/6210555987.html,2007 nissan altima 3.5 sl,condition: excellent#cylinders: 6 cylinders#drive: fwd#fuel: gas#odometer: 146051#paint color: grey#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00707_aq3hSI3kXch_600x450.jpg,2007 nissan altima#v6; 3.5l; 270hp engine#automatic transmission#gray exterior color#black leather interior#navigation package#all services performed by dealer/shop (paperwork provided)#recent replacements:#replaced tires (yokohama yk740)#replaced struts/shocks#addons:#mirror tint#hitch with lighting connectors#kbb suggested retail price - $6;845#https://www.kbb.com/nissan/altima/2007/35-sl-sedan-4d/,5489.15666618
6191064927,2017-07-08 11:43,sfbay,CA,nissan,altima,12500,2015,37000,https://sfbay.craigslist.org/eby/cto/6191064927.html,2015 nissan altima s one owner 35k,condition: excellent#cylinders: 4 cylinders#fuel: gas#odometer: 37000#paint color: silver#title status: clean#transmission: automatic,https://images.craigslist.org/00Y0Y_8nwOcd1ul1V_600x450.jpg,2015 nissan altima s; this is a very clean car inside and out; very low miles 37k; new tires good brakes; am/fm cd awesome sounding stereo; back up camera;     car drives excellent; average gas mileage 33 mpg;  clean title; clean carfax.#show contact info,13452.0356203
6210486343,2017-07-08 11:13,sfbay,CA,nissan,altima,9900,2013,45890,https://sfbay.craigslist.org/sby/cto/6210486343.html,2013 nissan altima sv,VIN: 1N4AL3AP1DN539673#condition: good#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 45890#paint color: grey#size: compact#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00P0P_j9Q6u3rhvrz_600x450.jpg,show contact info#up for sale is my beloved nissan altima sv#the car is a 4 cylinder super gas saver car in excellent conditions; super clean it comes with sound system#46 k miles#clean title#almost new tires#in perfect working conditions#the reason why im selling it is because i need a family car#asking price $9900#honda toyota lexus camaro bmw chevy etc,10233.7161362
