PID,POSTTIME,CITY,STATE,MAKE,MODEL,PRICE,YEAR,MILES,URL,TITLE,ATTR,IMGLINK,MESSAGE,PRICEPRED
6190836466,2017-06-24 07:59,sfbay,CA,nissan,maxima,1950,1997,220000,https://sfbay.craigslist.org/eby/cto/d/nissan-maxima/6190836466.html,nissan maxima,condition: fair#cylinders: 6 cylinders#drive: fwd#fuel: gas#paint color: black#size: full-size#title status: clean#transmission: automatic,https://images.craigslist.org/00l0l_lyG7TSGAY5m_600x450.jpg,nissan maxima#sedan#v6#black on black#leather#power windows#power locks#cruise control#power drivers seat#automatic transmition#220k miles#runs great#havent driven the car in a year. i am selling the car to clear driveway space!#asking $1950 or best offer / title in hand / will consider all serious offers!#call or text - aaron @#show contact info#- text is best!,2193.0569097
6184625936,2017-07-01 13:57,sfbay,CA,nissan,maxima,900,2000,320000,https://sfbay.craigslist.org/eby/cto/d/nissan-maxima-gle/6184625936.html,2000 nissan maxima gle,condition: good#cylinders: 6 cylinders#drive: fwd#fuel: gas#odometer: 320000#paint color: grey#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00V0V_90TvNuIboNw_600x450.jpg,2000 nissan maxima gle#runs fine but needs to pass smog.#changed pre cat and havent had chance to smog b/c on non op and may need new battery.#txt if interested.  interior is in awesome condition#exterior needs minor touch up - minimal fading,1328.77506569
6212027211,2017-07-13 07:22,sfbay,CA,nissan,maxima,4500,2007,128000,https://sfbay.craigslist.org/sby/cto/d/nissan-maxima-se/6212027211.html,2007 nissan maxima 3.5se,VIN: 1n4ba41e47c811550#condition: excellent#cylinders: 6 cylinders#fuel: gas#odometer: 128000#paint color: red#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00K0K_eNAf4WSgdik_600x450.jpg,2007 nissan maxima 3.5se; automatic transmission clean title reg nov 2017; smogged ready for new buyer; 128;000 miles ; runs very good; a.c. all power; rear back sensor for parking ; nice leather seat; moon ruff; $4500.00 obo for more information call or text#show contact info,5313.28803247
6157299799,2017-06-28 07:57,sfbay,CA,nissan,maxima,7999,2006,72000,https://sfbay.craigslist.org/eby/cto/d/nissan-maxima-low-mileage/6157299799.html,2006 nissan maxima low mileage,condition: excellent#fuel: gas#odometer: 72000#title status: clean#transmission: automatic,https://images.craigslist.org/00I0I_6q9mv84tG9J_600x450.jpg,2006 nissan maxima#mileage: 72k#clean title ; clean carfax#brand new tires#excellent condition#firm price 7990#please contact:#e star motors#show contact info#ea m0t0rs,4582.0195296
6217245089,2017-07-12 23:07,sfbay,CA,nissan,maxima,1200,1996,200000,https://sfbay.craigslist.org/sfc/cto/d/nissan-maxima/6217245089.html,1996 nissan maxima,condition: good#fuel: gas#odometer: 200000#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00K0K_3LBDWspud9a_600x450.jpg,1996 nissan maxima; clean title; runs great; cash only,888.585533912
6211615508,2017-07-09 08:41,sfbay,CA,nissan,maxima,1300,2001,135000,https://sfbay.craigslist.org/sby/cto/d/nissan-maxima-gle-for-obo/6211615508.html,2001 nissan maxima gle for $1300 obo,condition: good#cylinders: 6 cylinders#drive: fwd#fuel: gas#odometer: 135000#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/01616_4Mep3phTSm2_600x450.jpg,nissan maxima gle v6 3.0l. good condition. runs great driven by a retired person. service engine soon light is on. title in hand. please contact me for a test drive at#show contact info,2615.4856096
6204479784,2017-07-04 12:41,sfbay,CA,nissan,maxima,2000,2010,85000,https://sfbay.craigslist.org/sfc/cto/d/this-nissan-maxima-se-is/6204479784.html,this 10 nissan maxima-se is good for your household,fuel: gas#title status: clean#transmission: automatic,https://images.craigslist.org/00m0m_7EWGfUmOmBL_600x450.jpg,works excellent.  airbags loaded with amazing features stored in garage with only 85;000 miles. bucket seat in the front. not any damages. no problems. no malfunctions. functions good.,2356.34202731
6202811227,2017-07-03 06:47,sfbay,CA,nissan,maxima,800,2000,160000,https://sfbay.craigslist.org/eby/cto/d/nissan-maxima-door-se/6202811227.html,2000 nissan maxima 4door se - $800,condition: good#cylinders: 6 cylinders#drive: fwd#fuel: gas#odometer: 160000#paint color: brown#size: compact#title status: clean#transmission: manual#type: sedan,https://images.craigslist.org/01212_4jjFSprnYCF_600x450.jpg,2000 nissan maxima 4door se 6cyl; 5speed manual trans; power windows; seats; steering; breaks; and ac works; engine runs excellent. needs transmission work. 800.00 obo. make offer. phone#show contact info#or cell#show contact info#james.,1431.46762489
6191041293,2017-06-24 10:06,sfbay,CA,nissan,maxima,5500,2005,153000,https://sfbay.craigslist.org/sby/cto/d/nissan-maxima/6191041293.html,nissan. maxima,condition: like new#cylinders: 6 cylinders#drive: fwd#fuel: gas#odometer: 153000#paint color: white#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00D0D_ig7AfE8nwOm_600x450.jpg,hi there im selling my nissan maxima 2005;clean title;new tires ;3.5 engine the car is like new only use it for the weekends is my other daily car;pearl white it has 153 miles yea so let me knoe if ur interested here is my number#show contact info,4929.78633327
6209403553,2017-07-07 15:45,sfbay,CA,nissan,maxima,2500,2002,195000,https://sfbay.craigslist.org/sby/cto/d/nissan-maxima-gle/6209403553.html,2002 nissan maxima gle v6,cylinders: 6 cylinders#drive: fwd#fuel: gas#odometer: 195000#paint color: white#title status: clean#transmission: automatic,https://images.craigslist.org/00d0d_1V78EhbFdZ9_600x450.jpg,02 nissan maxima gle 195xxx miles. clean tittle. a.c. blows cold. fully loaded; leather; sun roof; spoiler; tune up and new front brakes. blue tooth stereo. runs great. 2500 obo#any questions feel free to call or text felix#five59nine0089one9,3714.03673445
6201180707,2017-07-01 17:33,sfbay,CA,nissan,maxima,2000,2000,154000,https://sfbay.craigslist.org/eby/cto/d/nissan-maxima-se/6201180707.html,2000 nissan maxima se,VIN: Jn1ca31d3yt540503#condition: fair#cylinders: 6 cylinders#drive: fwd#fuel: gas#odometer: 154000#size: mid-size#title status: clean#transmission: automatic,https://images.craigslist.org/00g0g_1pfBb407BH8_600x450.jpg,i got a 2000 maxima se; runs great with around 154;000miles. just passed smog. has leather seats with sun roof; all power seats and windows. its a 2000 so its gonna have small dings and scratches. if you have any questions call or txt. 51082five601six  $2;000,1446.35944617
