PID,POSTTIME,CITY,STATE,MAKE,MODEL,PRICE,YEAR,MILES,URL,TITLE,ATTR,IMGLINK,MESSAGE,PRICEPRED
6200840435,2017-07-01 13:23,sfbay,CA,nissan,sentra,15000,2014,47000,https://sfbay.craigslist.org/sby/cto/d/nissan-sentra-obo/6200840435.html,2014 nissan sentra 15;000 obo,condition: like new#fuel: gas#odometer: 47000#title status: clean#transmission: automatic,https://images.craigslist.org/00909_jAV7gQN75cE_600x450.jpg,2014 nissan sentra 2.0 s#condition: excellent#fuel: gas#odometer: 57000#title status: clean#transmission: automatic#i have a 2014 nissan sentra that i need to sale asap i am asking for 10;000 or best offer; the vehicle only has 47;000 miles on it; i am the first owner car runs fine no issues ever with the car and the car is still under warranty covered under 100;000 miles engine and transmission all covered under warranty comes with the stock radio and im willing to let go a free gps after market touch screen radio that also plays dvds also has bluetooth please contact me only if you truly are interested and if you have any questions about the vehicle feel free to give me a call my name is andrew,11668.4533593
6185635431,2017-06-30 17:50,sfbay,CA,nissan,sentra,2200,1998,180000,https://sfbay.craigslist.org/sby/cto/d/nissan-sentra-gxe/6185635431.html,1998 nissan sentra gxe,condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 180#paint color: green#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00i0i_6X5Aw0U6ihq_600x450.jpg,new jvc stereo w aux#new front kicker speakers and rear jvc speakers#new keyless entry and alarm system#4 brand new tires installed this week#new crank seal#new spark plugs#new spark wires#new distributor#repainted valve cover and new valve cover gasket and 4 grommets#new upper timing chain tensioner#new cold air intake#new apexi catback exhaust (custom welded)#smogged and registered 3 months ago#brand new axles both sides done this month#brand new front rotors and brake pads done this month#brand new rear brake drums and shoes this month#brand new manzo sports 4 to 1 header with downpipe#brand new magnaflow high flow non resonated catalytic converter#brand new spectre air intake filter#also comes with stock air intake for smog the welded exhaust is carb legal#brand new front wheel bearings; seals; and hubs.#new xenon ultra white 4k light bulbs.#180k miles. no cel!#clean title.#a few tiny dings. paint is straight.. small sun fade on hood and some clear coat peel on left rear fender not too bad.#needs new headliner and 1 sun visor.#have a new kicker comp10 in sealed box and bridged amp i can throw in for another 150 or if the price os right ill include.#2200,4231.53567435
6208199496,2017-07-06 22:26,sfbay,CA,nissan,sentra,3200,2004,140000,https://sfbay.craigslist.org/sfc/cto/d/nissan-sentra-for-sale/6208199496.html,2004 nissan sentra 1.8s for sale,condition: good#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 140000#paint color: black#size: compact#title status: clean#transmission: automatic#type: other,https://images.craigslist.org/00606_fcONjcBRxhx_600x450.jpg,selling my 2004 nissan sentra 1.8 s simply because i want to get a different car manufacturer. its a great car all around; and great on gas. if any info please call me @#show contact info,3248.86126023
6218250899,2017-07-13 14:36,sfbay,CA,nissan,sentra,2300,2006,168000,https://sfbay.craigslist.org/eby/cto/d/nissan-sentra/6218250899.html,06 nissan sentra,condition: good#cylinders: 4 cylinders#drive: fwd#fuel: gas#paint color: grey#title status: clean#transmission: automatic,https://images.craigslist.org/00F0F_jsYFjPIkbjg_600x450.jpg,06 nissan sentra 168000 miles runs great.,3673.086959
6215195556,2017-07-16 12:45,sfbay,CA,nissan,sentra,7600,2013,83400,https://sfbay.craigslist.org/sby/cto/d/nissan-sentra-clean-title/6215195556.html,2013 nissan sentra; clean title; carfax; below blue book!,VIN: 3N1AB7AP9DL674971#condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 83400#paint color: silver#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/01616_6MjBMGMgV10_600x450.jpg,update:  a buyer has made a deposit on the sentra so it is likely sold.  however; if you are interested in the car in case the deal falls through; please let me know.  i will delete the ad if/when the car is actually sold.#best price anywhere for a clean title 2013 sentra; civic; or corolla!#only $7600#super clean in/out with only 83k miles and gets over 40 mpg on the highway!#priced below the kelly blue book private party values:#- excellent  $7969#- very good  $7631#- good  $7260#clean title; carfax report in hand; just smog tested; all recalls completed; and just had a 50-point inspection done at the nissan dealer!#best color combination - beautiful shiny silver paint and premium charcoal cloth interior with only 1 minor dent/scrape (see pictures) on the passenger side doors rear lower area (got too close to a gas station post).#2 female owners (2nd owner since 5k miles).#brand new ceramic front brakes; oil & filter change; wheel alignment; & wiper blades. battery & tires replaced last year.#1.8l; dohc; 4-cylinder engine; cvt automatic transmission with od#power windows; locks; mirrors & trunk release#ice cold ac,8787.14946003
6218699057,2017-07-13 22:11,sfbay,CA,nissan,sentra,7000,2012,105000,https://sfbay.craigslist.org/sfc/cto/d/nissan-sentra/6218699057.html,2012 nissan sentra,condition: fair#drive: fwd#fuel: gas#odometer: 105000#paint color: black#size: mid-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00606_39wQ66xViOY_600x450.jpg,nissan sentra 2012#black#4 door#cracked windshield quotes at $285#damage to left door#front tires are about 3 months old#i have all the paperwork for any work done on the car#105;000 miles#will consider all offers,6061.42221691
6200473266,2017-07-01 09:15,sfbay,CA,nissan,sentra,2300,2005,186000,https://sfbay.craigslist.org/eby/cto/d/nissan-sentra/6200473266.html,nissan sentra 2005,condition: good#cylinders: 4 cylinders#fuel: gas#odometer: 186000#paint color: silver#size: compact#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00Y0Y_2VjDR7f5IRJ_600x450.jpg,2005 nissan sentra 1.8 s special edition#clean tile#new catalyc converter#smog check pased#registration paid until june 2018#run very good#hablo espaol#check out the pictures!!!#ext color: silver#interior: dark gray cloth seats in very good condition#automatic transmission#4-door sedan#maintenance done#no smoke; no pets#new rear tires#features:#power windows & locks#am/fm radio#a/c#sliding sun roof#alloy wheel#sub at the trunk#rear spoiler#text me at#show contact info#car are located in hayward or oakland#and more!!!!#i recently bought another car and cant have both cars.#asking $2;300 firm#cash only#please only serious buyers#thanks for looking!,3105.99936916
6206609165,2017-07-05 21:18,sfbay,CA,nissan,sentra,2300,1998,143000,https://sfbay.craigslist.org/sfc/cto/d/nissan-sentra-se-need-gone/6206609165.html,1998 nissan sentra se need gone,condition: good#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 143000#paint color: grey#size: compact#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00606_5k4Moqyc1lb_600x450.jpg,1998 nissan sentra asking $2300obo#- just installed a new water pump; alternator; oil change in past month#- automatic#- power steering and windows#- clean title#- ac blows cold#- registeration valid until feb 2018#- 143k miles#- wired for sub; comes with new kenwood 6x9s in rear; and 4.5s in the front; jvc deck with bluetooth; aux; & usb#- clean interior no rips; no holes.#- car has dent on side and front from previous owner.#- mechanically sound#- great commuter car; very economical#selling as i am in need of a truck; car is located in the city. asking $2200 obo. call or text paul (650)834-057five thank you.,2013.27756616
6205958239,2017-07-11 09:02,sfbay,CA,nissan,sentra,11500,2013,51000,https://sfbay.craigslist.org/eby/cto/d/nissan-sentra-clean-title/6205958239.html,2013 nissan sentra; clean title; 51k miles,condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 51000#paint color: grey#size: compact#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00a0a_i18cPKo3UHm_600x450.jpg,2013 nissan sentra sl with 51;000 miles. im the original owner (purchased april 2013). car is paid off and the title is clean.#metallic gray paint with black; cloth interior#includes hands free calling#cruise control#am/fm radio#cd player#aux port#usb input,10355.1621706
6192831290,2017-06-25 17:00,sfbay,CA,nissan,sentra,1900,1999,160000,https://sfbay.craigslist.org/pen/cto/d/nissan-sentra-gxe/6192831290.html,nissan sentra gxe (99),condition: good#cylinders: 4 cylinders#drive: fwd#fuel: gas#paint color: silver#title status: clean#transmission: manual#type: sedan,https://images.craigslist.org/00H0H_1JoJwMXuPZP_600x450.jpg,im selling my 99 nissan sentra after using it for 2 years at stanford to commute. fulfilled my childhood dream of buying a jeep last week; so time to say goodbye to the nissan. the car is in good condition. i stayed on top of all the fluid and mechanical maintenance. the most significant repair i made was replacing spark plugs and spark plug cables. this was entirely precautionary to lengthen the life of the vehicle. the front two tires are worn and need replacing come the winter rain. the back two tires are 2 years old and have plenty of miles left. no leaks of any kind. i promise you would not need to spend money to keep this car on the road. its a great everyday commuter car that will get you from point a to b. i have even taken it on a couple road trips with no issues: lake shasta and las vegas through death valley!#you are more than welcome to come test drive the car. i want to see it go to a caring owner. i bought it with a 10% student discount from the previous owner. i will extend the same discount to students.#- manual 5-speed transmission#- gxe model is high end tier#- 160k miles#- no dents or deep scratches to the body,2406.95212274
