PID,POSTTIME,CITY,STATE,MAKE,MODEL,PRICE,YEAR,MILES,URL,TITLE,ATTR,IMGLINK,MESSAGE,PRICEPRED
6195950380,2017-06-27 22:50,sfbay,CA,subaru,forester,22000,2015,11000,https://sfbay.craigslist.org/sfc/cto/d/subaru-forester-premium/6195950380.html,2015 subaru forester 2.5i premium - 11k miles,condition: excellent#fuel: gas#odometer: 11000#title status: clean#transmission: automatic,https://images.craigslist.org/00d0d_3mI068xZj8R_600x450.jpg,selling my subaru because im getting a newer car. this forester has been well maintained and has lots of nice options!#here are the vehicle details -#- year: 2015#- make: subar#- model: forester#- trim: 2.5i premium#- miles: 11;000#- transmission: automatic#- drive: awd#options:#- bluetooth#- backup camera#- premium package,21835.3828548
6223947757,2017-07-17 14:04,sfbay,CA,subaru,forester,6400,2005,111000,https://sfbay.craigslist.org/pen/cto/d/subaru-forester-xs-awd/6223947757.html,2005 subaru forester 2.5 xs; awd; clean title,VIN: JF1SG65695H726393#condition: excellent#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 111000#paint color: silver#title status: clean#transmission: automatic#type: wagon,https://images.craigslist.org/00t0t_6vwmyM2aW5e_600x450.jpg,i am selling my 2005 subaru forester 2.5xs with 111k miles. it comes with abs; a/c heater; power doors and windows; cruise control; power steering tilt wheel; cd; radio; bluetooth; dual airbags; f&r side airbags; power seat; partially leather seats; quad seating (4 buckets); moonroof; roof rack; alloy wheels. never been in an accident. clean title.#if you are interested please give me a call. my number is#show contact info#vin. jf1sg65695h726393,8054.0139038
6209056377,2017-07-11 16:36,sfbay,CA,subaru,forester,3900,2001,212000,https://sfbay.craigslist.org/eby/cto/d/subaru-forester/6209056377.html,01 subaru forester,cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 212000#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00v0v_jPvhNuAASOc_600x450.jpg,runs great#new head gasket; timing belt; water pump; tensioner and other gaskets#automatic#tires have great tread#blutooth stereo#clean title#212;xxx on chasis#5;000 miles on head gasket rebuild#$3900 obo#key words: impreza; wrx; sti; awd; 4x4; outback; crosstrek; legacy; off-road; rwd; drift; pick up; mustang; commuter; civic; mpg; fwd,3851.82781194
6208200066,2017-07-12 07:33,sfbay,CA,subaru,forester,10000,2006,288375,https://sfbay.craigslist.org/sby/cto/d/subaru-forester-bean/6208200066.html,2006 subaru forester bean,condition: excellent#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 288375#paint color: green#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/01212_35SxDXkPvlY_600x450.jpg,my aunt is selling this beauty. she is a 2006 green forester bean edition. looking for $10k or best offer. she has just gotten her oil change; a brand new battery; new anti-freeze and she is well kept. please let us know if you guys are interested in this baby!!! all wheel drive.#contact kwantar @ 4o8-933-8329,4768.98525949
6218761662,2017-07-14 01:14,sfbay,CA,subaru,forester,2500,2001,240000,https://sfbay.craigslist.org/sby/cto/d/subaru-forester/6218761662.html,2001 subaru forester,condition: fair#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 240000#paint color: white#size: mid-size#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/01010_hdsjzwWcFgq_600x450.jpg,2001 subaru forester white. runs and drive good. registered until 2018. clean title. 240k.  asking $2500 or best reasonable offer. please serious buyers only. thanks.,3752.52761688
6221425634,2017-07-16 15:37,sfbay,CA,subaru,forester,1800,2001,189413,https://goldcountry.craigslist.org/cto/d/subaru-forester-manual-obo/6221425634.html,2001 subaru forester s manual $1800/obo sold!,VIN: JF1SF65691G734934#condition: good#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 189413#paint color: silver#title status: clean#transmission: manual#type: SUV,https://images.craigslist.org/00x0x_bbx4zK9GDHw_600x450.jpg,we are traveling out of the country for a year and need to sell our much-loved 2001 subaru forester. it was parked for many years on the streets of san francisco; so has a few dings and scrapes; but we are the original owners and have always serviced it regularly and kept it in great running order. we just spent $900 on the a/c and a new rear bearing.#automatic 2.5l engine 4 cylinder with 189143k miles#air conditioning#front airbags - dual#front fog lights#6 disc cd player & am/fm radio#radio - am/fm#power door locks; windows; rear wiper; and large moonroof#heated front seats#roof rack#cloth upholstery in very good condition#alloy wheels#runs and drives great,3073.5312201
6215344464,2017-07-11 16:10,sfbay,CA,subaru,forester,6000,2004,129000,https://sfbay.craigslist.org/sfc/cto/d/subaru-forester-xt-mt/6215344464.html,2004 subaru forester xt 5mt,VIN: JF1SG69644G722850#fuel: gas#odometer: 129000#title status: clean#transmission: manual,https://images.craigslist.org/00202_56ZeJvp37su_600x450.jpg,hi all. i have a forester xt for sale with several modifications done to it. price is lowered accordingly; as the car will soon need head gasket work done. i have paperwork for all work done prior. car is in excellent shape otherwise. best offer takes her home.#i am keeping the roof box.#engine:#aps s/r 30 turbo with accompanying mods#turbosmart electronic turbo timer#perrin big tmic#perrin/cobb inlet hoses#hks ssqv bov#cobb accessport v2#cobb turbo back exhaust; hfc downpipe#tomei unequal length headers#cobb sf intake#custom fab. skid plate#drivetrain:#kartboy short shifter#kartboy shifter bushings#group n - tranny mount#brakes:#2006 wrx brakes#hawk hps pads (need replacing soon)#custom stainless steel brake lines front & rear#wheels:#summer: 18x8.5 rota gravels w/ michelin pss#winter: 17x7 sparco terra gravel (gold) w/ nokian hakkapelliita snow tires#suspension:#summer: wrx wagon h-techs springs; kyb struts#winter: stock ride height king springs with kyb struts#i have a set of struts for each spring setup.#whiteline front and rear strut bars#interior:#oem center dash gauge pod w/ oem voltage and oem oil temp gauge; aftermarket boost gauge#wrx limited one-piece front seats with oem working heaters.#bride cloth material shift boot and e-brake cover#shift knob 3 inch extension and weighted flossy shift knob#the car will come with brand new headlights with hid projectors already installed. the old headlights are included in boxes in the trunk. further; i have a brand new sti steering rack and a set of winter wheels and tires that i will be willing to sell with the car as well for the right price.#text me with questions or reply to this email.,6183.69924459
6184143524,2017-07-10 16:09,sfbay,CA,subaru,forester,6500,2004,171600,https://sfbay.craigslist.org/eby/cto/d/subaru-forester-xt-premium/6184143524.html,2004 subaru forester 2.5 xt premium package awd silver,VIN: JF1SG69604H724587#condition: excellent#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 171600#paint color: silver#size: full-size#title status: clean#transmission: automatic#type: wagon,https://images.craigslist.org/01111_jD5juAwLdXq_600x450.jpg,2004 subaru forester 2.5 xt premium package awd#4-speed automatic transmission#2.5l dohc intercooled turbo engine#exterior color: platinum silver metallic#interior color: black leather#have current smog certificate#beautiful car; original owner; clean carfax!  car has been well maintained since purchased brand new in 2004.   interior is clean and free from rips and cracks in the leather.  all the electronics are working.  front windshield wiper pump needs to be replaced.  tires are approximately 2 years old.  have all original documentation if requested.,4985.13001819
6214183981,2017-07-16 20:41,sfbay,CA,subaru,forester,1800,1999,118000,https://sacramento.craigslist.org/cto/d/subaru-forester/6214183981.html,1999 subaru forester l,VIN: JF1SF6350XG715868#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 118000#title status: clean#transmission: manual#type: wagon,https://images.craigslist.org/01616_anA6JBw2Ju1_600x450.jpg,i have had fun keeping the forester as my daily; but i recently upgraded to a 4runner and am preparing to move to another city within the next month; and dont plan on taking her with me.#heres whats up so far:#exterior: 8/10; a few door dings. ive kept up with keeping rock chips cleaned and covered with touch up paint.#interior: 8/10; no rips; just minor stains from previous owner; comes with complimentary seat covers to keep the seats in good condition.#pros:#- up to date tags; passed smog through to january 2018#- full timing belt package belts; pulleys; waterpump; spark plugs; head gaskets replaced at 95k miles. old one had a seal crack but didnt blow; both were replaced.#- new radiator#- co2 censor replaced beginning of february#- compustar alarm with horn; keyless entry; spare fob and lifetime warranty#- two-way pioneer speakers; subaru tweeters (hard to find)#- wiring for an 8in bazooka tube (tube not included)#- new pcv valve#- cold a/c#- clutch still has good pressure and shifts smoothly#- title in hand with mechanic receipts for the work done.#- replaced double din deck with original forester deck; the wiring is still there; should you decide to put another one in.#- cabin filter changed#- spark plugs changed two weeks ago during a diagnosis check#cons:#- she is currently leaking oil. i keep up with the oil levels and top them off over the weekend.#- cylinder 3 is losing compression and sits at 90 psi; the cause most likely being from a leaky exhaust valve. cant be head gaskets or rings because the car had that work taken care of recently.#- throw out bearing may need to be replaced; it squeaks a bit and is mostly a minor annoyance and can probably wait to be changed when the clutch needs to be done.#gas cap door has been replaced with the original#this wagon needs work but runs very well despite its setbacks. there is no check engine light and you wouldnt even know that there was a problem. you can drive it home and to work but i wouldnt recommend any long trips in her current state.#if you are interested; feel free to contact me at#show contact info#i also respond via email.#thanks for your time.,4125.25845898
6221110376,2017-07-15 13:19,sfbay,CA,subaru,forester,7000,2005,149000,https://sacramento.craigslist.org/cto/d/subaru-forester/6221110376.html,2005 subaru forester,fuel: gas#title status: clean#transmission: automatic,https://images.craigslist.org/00606_1F9vnP4xjuM_600x450.jpg,2005 subaru forester#ll bean edition#149k miles#newer transmission and head gaskets#$7;000 pretty firm#email or text#show contact info#at time of sale we will go to dmv together to register the car in your name.,5524.70897873
