PID,POSTTIME,CITY,STATE,MAKE,MODEL,PRICE,YEAR,MILES,URL,TITLE,ATTR,IMGLINK,MESSAGE,PRICEPRED
6215733671,2017-07-17 22:13,sfbay,CA,toyota,rav4,4800,1999,135318,https://sfbay.craigslist.org/eby/cto/d/rav-clean-title-low-mileage/6215733671.html,rav4 1999 clean title low mileage,condition: excellent#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 135318#paint color: green#size: mid-size#title status: clean#transmission: manual#type: SUV,https://images.craigslist.org/01212_kTg89oLJodn_600x450.jpg,its only 135;318- mileage !#changed timing belt last year.#everything working fine except the crack in the windshield. ( its been there for more than 6 years.  its not growing anymore.  it costs around $150 if you want to replace it).#i have all the service records; manual; repair records.#kbb price:#http://www.kbb.com/toyota/rav4/1999-toyota-rav4/sport-utility-4d/?category&intentbuy-used&pricetypeprivate-party&conditionexcellent&persistedconditionexcellent&quizconditions&options231600true231600false231600true231608true231621true231627true231644true231708false231715true231729true231769true&path&vehicleid6069&mileage135000#max seating: 5#doors: 4#engine: 4-cyl; 2.0 liter#drivetrain: 4wd#transmission: manual; 5-spd#epa class: sport utility vehicles#body style: sport utility#country of origin: japan#country of assembly: japan,5828.27072559
6202169695,2017-07-09 08:54,sfbay,CA,toyota,rav4,15999,2012,35600,https://sfbay.craigslist.org/eby/cto/d/toyota-rav/6202169695.html,2012 toyota rav4,condition: excellent#cylinders: 6 cylinders#drive: 4wd#fuel: gas#odometer: 35600#paint color: silver#size: full-size#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00P0P_ekAvHki0zIl_600x450.jpg,2012 toyota rav4:#engine: 3.5 l dohc sfi 24-valve dual vvt-i v6 engine.#transmission:automatic.#drive:front wheel drive.#body: 4d sport utility.#miles:35;000.#color:silver gray.#condition:good.#phone number:#show contact info#( please 4pm after call me;4pm before leave a message)#show contact info#chinese,18995.2671113
6222496136,2017-07-18 15:19,sfbay,CA,toyota,rav4,8700,2007,142000,https://sfbay.craigslist.org/eby/cto/d/toyota-rav-limited-wd/6222496136.html,2007 toyota rav4 limited 4wd,cylinders: 6 cylinders#drive: 4wd#fuel: gas#title status: clean#transmission: automatic,https://images.craigslist.org/01616_lnvFxwBi3r5_600x450.jpg,im selling a 1 owner; clean rav4. only has 142000 miles. clean title; current registration; clean carfax; recent oil change; just passed smog. this is a limited edition so its loaded with options.#v6#automatic transmission#4wd#leather seats#power seats#heated seats#power windows#power locks#power mirrors#power steering#cruise control#cd 6 disc changer#jbl system with mp3/aux#ac#abs#srs#roof rack#ski rack#new tires#alloy wheels#fog lights#keyless entry alarm#show contact info,8116.01112561
6164995108,2017-06-30 13:02,sfbay,CA,toyota,rav4,2400,1998,189000,https://sfbay.craigslist.org/eby/cto/d/toyota-rav/6164995108.html,1998 toyota rav4,condition: good#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 189000#paint color: silver#size: mid-size#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00t0t_biL5z1DFCLU_600x450.jpg,1998 toyota rav4 ;is in good condition with 189;000miles on it! silver / with grey cloth interior / fuel injected 4;cylinder engine / with a automatic transmission / current reg;nov;2017. / clean title / clean interior / clean body / $2400 or best offer;#show contact info#ask for charles....(mon - sat; 9am to 6pm). (note; rear window needs to be replaced.),3713.4062105
6221527440,2017-07-15 19:43,sfbay,CA,toyota,rav4,7515,2006,105011,https://sfbay.craigslist.org/eby/cto/d/toyota-rav/6221527440.html,2006 toyota rav4,VIN: JTMZD33V766017694#condition: good#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 105011#title status: clean#transmission: automatic,https://images.craigslist.org/00q0q_3tfPv557Dvu_600x450.jpg,up for sale is 2006 toyota rav4  in excellent running condition#clean title (carfax report)#mileage: 105;011#engine runs great and transmission shifts smooth#no any mechanical issue#clean in and out#smog passed today#-4-cyl; 2.4 liter engine#-automatic transmission & 2wd#-abs (4-wheels)#-air conditioning#-power door locks#-power windows#-cruise control#-am/fm/mp3 player#-dual air bags#-privacy glass#-roof rack#selling price: $7;515#please call 510-3o4-539o for appointment to see and test drive the suv at 41601 albrae street; fremont; ca 94538 (for sale by dealership),7068.63410949
6155165238,2017-06-29 10:36,sfbay,CA,toyota,rav4,5500,2004,192000,https://sfbay.craigslist.org/nby/cto/d/toyota-rav/6155165238.html,toyota rav4 2004,condition: excellent#fuel: gas#paint color: silver#title status: clean#transmission: automatic,https://images.craigslist.org/00B0B_4Rb6xjdDU5X_600x450.jpg,192;000 miles#good condition#clean title#selling because got a new car & dont use it as much.,5333.78332515
6203245724,2017-07-18 12:03,sfbay,CA,toyota,rav4,4500,1999,89000,https://sfbay.craigslist.org/eby/cto/d/toyota-rav-only-original/6203245724.html,1999 toyota rav4 only 89k original miles,condition: like new#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 89#paint color: grey#title status: clean#transmission: manual,https://images.craigslist.org/00M0M_flao7YfVIcW_600x450.jpg,if you are looking for a straightforward reliable excellent condition car look no further.  we have had the rav4 for a short while and my wife has decided that she wants a jeep wrangler rubicon so we are selling this as a down payment.#- clleeeean#- clean title as well#- everything works#- no leaks#- smogged#- newish tires couple months old#- power windows#- power steering#- factory cd player option#- moon roof#- cruise control#- etc,5322.3827884
6216962632,2017-07-12 17:22,sfbay,CA,toyota,rav4,3500,1999,121573,https://sfbay.craigslist.org/sby/cto/d/toyota-rav-convertible-for/6216962632.html,toyota rav4 convertible for sale,condition: good#drive: fwd#fuel: gas#odometer: 121573#paint color: white#size: compact#title status: clean#transmission: automatic#type: convertible,https://images.craigslist.org/01212_lfZGXmr34Pb_600x450.jpg,limited edition two door; soft-top convertible. also has a removable sunroof. car has only had two owners and has been serviced regularly and records kept. tires recently replaced. city 19/hwy 23 mpg.,4621.40293007
6195417854,2017-06-27 13:44,sfbay,CA,toyota,rav4,6000,2006,158000,https://sfbay.craigslist.org/eby/cto/d/toyota-rav-for-sale/6195417854.html,2006 toyota rav4 for sale,condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 158000#paint color: silver#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/01616_fNERvD2AFZf_600x450.jpg,very nice 2006 toyota rav4 for selling now.#contact#show contact info,6899.86705069
6224524493,2017-07-17 23:46,sfbay,CA,toyota,rav4,5300,2001,141110,https://sfbay.craigslist.org/pen/cto/d/toyota-rav-cilinders/6224524493.html,toyota rav4.    4 cilinders.,condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 141110#paint color: silver#size: full-size#title status: clean#transmission: automatic#type: other,https://images.craigslist.org/01111_4a0vgNDpJH1_600x450.jpg,selling toyota rav4.  is 4 cilinders.   automatic.  141110 miles.     no leaking   very good conditions.    vendo rav4.      es 4 cilindros.#show contact info#text para mas informasion.    $5300,4641.87186476
