PID,POSTTIME,CITY,STATE,MAKE,MODEL,PRICE,YEAR,MILES,URL,TITLE,ATTR,IMGLINK,MESSAGE,PRICEPRED
6204602589,2017-07-04 12:07,sfbay,CA,chevrolet,malibu,2450,2000,124000,https://sfbay.craigslist.org/eby/cto/6204602589.html,2000 chevrolet malibu..low mileage..clean title,fuel: gas#title status: clean#transmission: automatic,https://images.craigslist.org/00C0C_Gn5KaUGVNJ_600x450.jpg,2000 chevrolet malibu...clean title#low mileage 124k#clean title#passed smog#very clean from inside and out side#break and tiers good#automatic transmission#ac and heater working#please call or text me#show contact info,2216.16390524
6173997573,2017-07-06 09:14,sfbay,CA,chevrolet,malibu,9699,2014,66300,https://sfbay.craigslist.org/nby/cto/6173997573.html,2014 chevrolet malibu lt economy silver clean title gas saver,condition: like new#cylinders: 4 cylinders#fuel: gas#odometer: 66300#paint color: silver#title status: clean#transmission: automatic,https://images.craigslist.org/00C0C_19NTo4FVk7S_600x450.jpg,2014 chevy malibu lt economy sliver#mileage: 66;300#color: silver#touchscreen console#onstar capabilities#bluetooth#cd player & mp3 playback#siriusxm satellite radio#usb port#air conditioning/heater#power windows & locks#power seats#cruise control#backup camera#clean car fax#car located in fremont 94538#call#show contact info#ben,9850.39551481
6206641799,2017-07-05 22:37,sfbay,CA,chevrolet,malibu,5480,2009,137129,https://sfbay.craigslist.org/sby/cto/6206641799.html,chevrolet malibu hybrid chevy 2009,condition: excellent#cylinders: 4 cylinders#fuel: hybrid#odometer: 137129#paint color: white#title status: clean#transmission: automatic,https://images.craigslist.org/00a0a_6jalcajHWH6_600x450.jpg,selling 2009 chevy malibu hybrid with 138k miles#car is very clean drives extremely smooth.#tires are new.#holds clean title and clean carfax history.#selling for only $5480#it comes with 1 month 1000 miles free warranty.#vin 1g1zf57509f147149#sedan 4 dr#2.4l l4 mpi dohc 16v#hybrid#front wheel drive#it is for sale from dealership#tel:#show contact info#tag: prius; hybrid; insight;,5628.07890864
6162374021,2017-07-03 17:13,sfbay,CA,chevrolet,malibu,4900,2008,114500,https://sfbay.craigslist.org/sfc/cto/6162374021.html,2008 chevrolet malibu hybrid,condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: hybrid#odometer: 114500#paint color: blue#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00D0D_17EntPH3N9n_600x450.jpg,2008 chevrolet malibu hybrid 114k miles clean title one owner runs strong no issues for more info call#show contact info,5157.36883314
6195397790,2017-06-27 13:30,sfbay,CA,chevrolet,malibu,12500,2016,5157,https://sfbay.craigslist.org/eby/cto/6195397790.html,2016 chevrolet malibu ltz sedan,cylinders: 4 cylinders#fuel: gas#odometer: 5157#title status: rebuilt#transmission: automatic,https://images.craigslist.org/00Q0Q_jpEEi6e0Lvn_600x450.jpg,2016 chevrolet malibu ltz new body sedan 4 door#miles : 6;145#engine: 4-cly- 2.0t#drive:front -wheel drive#price : 12;500#title: salvage due to small accident in the rear#this is a nice and clean car ; if you are interested please call me at#show contact info,14253.9574932
6204437806,2017-07-04 10:07,sfbay,CA,chevrolet,malibu,1600,2006,240000,https://sfbay.craigslist.org/eby/cto/6204437806.html,2006 chevrolet malibu $1800 obo,fuel: gas#odometer: 240000#title status: clean#transmission: automatic,https://images.craigslist.org/00000_6x4TxhNdREr_600x450.jpg,runs and drives a great . pass smog . clean title . power windows . power doors locks . cd player ac works .#show contact info,2382.03681992
6206686770,2017-07-05 23:53,sfbay,CA,chevrolet,malibu,900,2001,131340,https://sfbay.craigslist.org/nby/cto/6206686770.html,2001 chevy malibu ls for sale!!,VIN: 1G1NE52J316184464#condition: fair#drive: fwd#fuel: gas#odometer: 131340#paint color: custom#size: mid-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00808_4e19QB0bbEb_600x450.jpg,i own a 2001 golden chevy malibu ls and is up for sale asap. the car has a clear title and is available for a test drive anytime after 4 pm (mon-fri). the car drives but is old with a few scratches here and there and is on sale in as is condition.,1670.7015426
6206673768,2017-07-05 23:19,sfbay,CA,chevrolet,malibu,6500,2013,90000,https://sfbay.craigslist.org/eby/cto/6206673768.html,2013 chevy malibu,condition: good#fuel: gas#title status: clean#transmission: automatic,https://images.craigslist.org/00n0n_8YReHTDjhXc_600x450.jpg,2013 chevy malibu for sale. runs great! 90k miles; clean title! interior clean! located at 2505 devpar ct. antioch 94509. for more info call#show contact info#mon-fri only. asking $6500!,8911.54055162
6147195093,2017-06-23 13:39,sfbay,CA,chevrolet,malibu,3300,2002,178000,https://sfbay.craigslist.org/eby/cto/6147195093.html,2002 chevrolet malibu ls,condition: good#cylinders: 6 cylinders#drive: fwd#fuel: gas#odometer: 178000#paint color: silver#size: mid-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00i0i_NOzKC8DK7C_600x450.jpg,2002 malibu; automatic; power windows; locks; mirrors; seat; cruise control; alloy wheels; good tires; cold ac.#car runs and drives well; fresh smog; tags good to feb 2018.#keyless entry with 2 remotes and 2 factory transponder keys.#comes with owners manual.#this car is in great shape for its age and has been well taken care of.#the car has a brand new battery; windshield and coolant reservoir.#call dave#show contact info,2077.07269181
6180353281,2017-06-16 21:31,sfbay,CA,chevrolet,malibu,13900,2015,65000,https://sfbay.craigslist.org/scz/cto/6180353281.html,chevrolet malibu 2015,fuel: gas#title status: clean#transmission: automatic,https://images.craigslist.org/00N0N_lchY2duyGHl_600x450.jpg,2015 chevrolet malibu#in excellent condition#65;000 miles#clean inside out#clean car fax#clean tittle#call me at#show contact info#excellent condition.,11354.9391782
6207990497,2017-07-06 18:11,sfbay,CA,chevrolet,malibu,4800,2010,140346,https://sfbay.craigslist.org/eby/cto/6207990497.html,2010 chevy malibu lt,condition: excellent#cylinders: 4 cylinders#drive: rwd#fuel: gas#odometer: 1403469#title status: clean#transmission: automatic,https://images.craigslist.org/00G0G_2e2I4r0LKLj_600x450.jpg,hi im selling my moms 2010 chevy malibu lt fully loaded keyless entry has a $800 kenwood stereo system sounds amazing very clean inside and out has a clean title never no accident although it does have a small minor issue with the front headlight and bumper cover it happened in a shopping center in fremont i pulled too close to a car in lightly bump the front bumper very minor ice cold air conditioner only has 143k original miles tags are due only a hundred bucks to renew the tags its only back a few months im moving soon and need to sell it im asking $4;800 or best serious offer serious inquiries only please call anytime at#show contact info,5030.67771383
6204661289,2017-07-06 14:32,sfbay,CA,chevrolet,malibu,3600,2007,114250,https://sfbay.craigslist.org/eby/cto/6204661289.html,2007 chevy malibu lt,VIN: 1G1ZT57F87F154428#condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 114250#paint color: custom#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00E0E_LJGJwEvLCR_600x450.jpg,2007 chevy malibu lt#price: $3600#miles:114250#engine: 4 cylinder 2.2 ltr#all powers; with power seat; cd am fm .#clean title#call#show contact info,4591.74874119
6186002994,2017-07-06 14:04,sfbay,CA,chevrolet,malibu,11000,2015,90000,https://sfbay.craigslist.org/nby/cto/6186002994.html,2015 malibu ltz  $11;000 clean title!,condition: excellent#cylinders: 4 cylinders#fuel: gas#odometer: 90000#title status: clean#transmission: automatic,https://images.craigslist.org/00M0M_cs8tAvUOV37_600x450.jpg,im selling my 2015 chevy malibu ltz#the car is in a great condition; works and runs great. clean title and no accidents.#very reliable car; saves a lot of money on gas as well!#text me to 707 304 64 seven eight#hablo espaol,9432.40052599
6187515482,2017-06-21 22:24,sfbay,CA,chevrolet,malibu,2000,2003,96000,https://sfbay.craigslist.org/sby/cto/6187515482.html,chevy malibu ls for $2000 obo,condition: good#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 96000#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00w0w_bT0MW3bo31b_600x450.jpg,selling my 2003 chevrolet malibu for $2000. clean title. very low on milage 96000 only and well maintained.#care exterior and interior is very good. it broke down recently and i dont want to fix it thus selling the car. car does not start need to tow. if fixed; it will run in good condition.,1842.09044609
6175831477,2017-06-13 18:16,sfbay,CA,chevrolet,malibu,9500,2013,63400,https://sfbay.craigslist.org/sby/cto/6175831477.html,2013 chevrolet malibu ls,condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 63400#paint color: silver#title status: clean#transmission: automatic,https://images.craigslist.org/00I0I_eO9w913U6O_600x450.jpg,2013 chevrolet malibu ls#2.5l/150#mileage:63400#have reversing radar; bluetooth...#clean title; very good condition just $9500,9806.95830904
6175820656,2017-06-13 18:06,sfbay,CA,chevrolet,malibu,9500,2013,63400,https://sfbay.craigslist.org/sby/cto/6175820656.html,2013 chevrolet malibu ls,condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 63400#paint color: silver#title status: clean#transmission: automatic,https://images.craigslist.org/00202_7ekYKVK0sLk_600x450.jpg,2013 chevrolet malibu ls#2.5l/150#mileage:63400#have reversing radar; bluetooth...#clean title; very good condition just $9500,9806.95830904
6200137139,2017-07-01 02:14,sfbay,CA,chevrolet,malibu,6300,2008,69950,https://sfbay.craigslist.org/eby/cto/6200137139.html,chevy malibu hybrid 2008,condition: excellent#cylinders: 4 cylinders#fuel: hybrid#odometer: 69950#paint color: custom#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00r0r_kqI9bHauAgy_600x450.jpg,i am selling my  chevy malibu hybrid 2008.the car is really at good conditions inside and outside very clean; registration is clean until march 2018 tires are good!for more call @ my cell#show contact info,6861.87998529
6199758201,2017-06-30 16:06,sfbay,CA,chevrolet,malibu,24500,2016,6500,https://sfbay.craigslist.org/eby/cto/6199758201.html,2016 chevy malibu lt w/ leather  navigation,condition: like new#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 6500#paint color: black#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00f0f_8Dbq9bKM6iJ_600x450.jpg,selling my 2016 chevy malibu. car is basically new with only 6;500 miles on it. only had to have 1  maintenance done when the oil got to 20% at 5;500 miles; have receipt. car doesnt have any dents or scratches except for an indentation in the trunk(see pictures above). car runs very smooth with good mpg. has leather; navigation; and drivers confidence package (blind spot monitors; parking sensors; etc.)#please text or email; no calls please.,19899.3295207
6188876040,2017-06-30 10:23,sfbay,CA,chevrolet,malibu,14950,2013,14180,https://sfbay.craigslist.org/nby/cto/6188876040.html,chevy malibu; 2013; 14k miles; 4-door; blue; mint!!,VIN: 1G11B5SA3DF338182#condition: like new#fuel: gas#odometer: 14180#paint color: blue#size: mid-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00W0W_5BlPuMZmBwJ_600x450.jpg,chevy malibu; 2013 - mint!#14k original-owner miles#4-door; blue#loaded!#original/1 owner#regular unleaded/28 mpg or there abouts#engine - 2.5l l4 (i think; by checking the owners manual)#model options - power steering; brakes; windows; auto chair adjust;#all digital stereo w/sirius and cd; alarm; cruise control; could be more.#pristine condition.#mechanical/cosmetic condition is excellent.#no problems - you are welcome to take it to your mechanic.#no accidents; clean title.#beautiful car.#selling the car for my parents who bought it for a second vehicle (weekend car)#and drove it very little/took very good care of it.#they are both in their 90s now and can no longer drive.#$14;950.00#bodega bay; sebastopol; santa rosa#call#show contact info,14942.7025314
