PID,POSTTIME,CITY,STATE,MAKE,MODEL,PRICE,YEAR,MILES,URL,TITLE,ATTR,IMGLINK,MESSAGE,PRICEPRED
6231028738,2017-07-22 10:18,sfbay,CA,dodge,charger,4000,2008,164000,https://sfbay.craigslist.org/sby/cto/d/dodge-charger/6231028738.html,dodge charger,VIN: 2B3KA43R88H163060#condition: excellent#cylinders: 6 cylinders#fuel: gas#odometer: 164000#paint color: grey#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00x0x_7cRuNxJQBsy_600x450.jpg,clean title; no accidents; absolutely in stunning condition.,6311.6600213
6232782805,2017-07-23 15:02,sfbay,CA,dodge,charger,15500,2012,70000,https://sfbay.craigslist.org/sfc/cto/d/dodge-charger-for-sale/6232782805.html,2012 dodge charger for sale - excellent condition,condition: excellent#fuel: gas#odometer: 70000#title status: clean#transmission: automatic,https://images.craigslist.org/00Z0Z_8jxfFejgF6K_600x450.jpg,2012 dodge charger for sale by owner.#all services up to date; clean history and title in hand.#i am the 1st owner; it has 79;800 miles on it.#contact if your interested:#show contact info,15829.767017
6188436570,2017-07-02 21:31,sfbay,CA,dodge,charger,7200,2006,118000,https://sfbay.craigslist.org/nby/cto/d/dodge-charger-with-smog-ready/6188436570.html,2006 dodge charger (with smog ready,condition: good#cylinders: 6 cylinders#fuel: gas#odometer: 118000#title status: clean#transmission: automatic,https://images.craigslist.org/00s0s_a29q0yOws0p_600x450.jpg,i have a 2006 dodge charger with 118k miles ; clean title .car runs good come by and test drive it the smog paper is ready $7200 obo#show contact info#call or text#honda ; nissan ; challenger ; tacoma ; toyota ; chevy ; chevrolet ; impala ; bmw,6236.63561445
6197311914,2017-06-28 22:08,sfbay,CA,dodge,charger,15000,2012,60000,https://sfbay.craigslist.org/eby/cto/d/dodge-charger/6197311914.html,2012 dodge charger,condition: like new#cylinders: 6 cylinders#fuel: gas#odometer: 60000#paint color: black#title status: clean#transmission: automatic,https://images.craigslist.org/00f0f_ahypsazZ1Do_600x450.jpg,2012 dodge charger#exelent condition#v6 good on gas#low miles 60k#$15000 obo#all electric#air work radio am fm#cd estereo#for more info#call at#show contact info#no email renpond,16882.4158191
6234340341,2017-07-24 15:58,sfbay,CA,dodge,charger,6500,2006,170263,https://sfbay.craigslist.org/sby/cto/d/dodge-charger-sedan/6234340341.html,2006 dodge charger v6 sedan,fuel: gas#odometer: 170263#title status: clean#transmission: automatic,https://images.craigslist.org/00z0z_gZNVNtE4Yn9_600x450.jpg,2006 dodge charger gray/excellent condition#traction control/stability control/cruise control#abs (4-wheel)#air conditioning#power windows/power door locks/power steering#tilt wheel#am/fm stereo#premium wheels 22#for additional information; please call; no texting please#408 4two9-8777#2008 2007 chrysler 300 300c cadillac,7858.43483917
6230764247,2017-07-22 07:12,sfbay,CA,dodge,charger,15000,2014,77500,https://sfbay.craigslist.org/sfc/cto/d/dodge-charger/6230764247.html,2014 dodge charger,condition: excellent#cylinders: 6 cylinders#drive: fwd#fuel: gas#odometer: 77500#paint color: black#size: mid-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00c0c_aK0zCnM8sp3_600x450.jpg,selling 2014 dodge charger! well maintain with all the records of oil change! comes with premium 20 tsw rims! has a premium woofer; and also a sport design with led headlights and spoiler!#or looking for someone to take over payments under there name,15851.3476476
6203796981,2017-07-03 18:42,sfbay,CA,dodge,charger,8000,2008,98000,https://sfbay.craigslist.org/sby/cto/d/dodge-charger/6203796981.html,2008 dodge charger,condition: excellent#cylinders: 6 cylinders#drive: rwd#fuel: gas#odometer: 98000#paint color: blue#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/01111_lrQ8MJoltmZ_600x450.jpg,2008 dodge charger se for sale. clean title. 98k miles. prefer if you text i can reply quicker,8401.47642498
6194562322,2017-07-11 09:23,sfbay,CA,dodge,charger,5800,2006,145500,https://sfbay.craigslist.org/scz/cto/d/doge-charger-cylinders-clean/6194562322.html,2006 doge charger. 6 cylinders 2.7  clean title,condition: excellent#cylinders: 6 cylinders#drive: fwd#fuel: gas#odometer: 145500#paint color: custom#size: full-size#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00y0y_i5kGccxdPF9_600x450.jpg,its a great car runs great everyhing works great original color was red. i painted pik because my wife want it pink no liquing i just pay the registration on march i make the smoke check like five days ago inside looks great everthing works all electrical windows;locks. the car its automatic  has 145500 miles   has a 22s rims nes tires like 3 months of use new head lights with h.i.d set rear hunk spoiler flow master 2 crome pipes all the interior original.  for more cuestins tex at#show contact info#really good save on gas.   engine    motor.  2.7,6762.78988594
6199597099,2017-06-30 13:59,sfbay,CA,dodge,charger,16500,2012,71000,https://sfbay.craigslist.org/sfc/cto/d/dodge-charger-blacktop/6199597099.html,2012 dodge charger blacktop,condition: like new#cylinders: 6 cylinders#drive: rwd#fuel: gas#odometer: 71000#paint color: black#title status: clean#transmission: automatic,https://images.craigslist.org/00202_bPvdAl8fn5v_600x450.jpg,selling my 2012 dodge charger just looking to buy another car.... excellent car no problems at all.#its a sxt plus with paddle shifters#heated front and back seats as well as heated and cooled cup holders; navigation; bluetooth; mp3;dvd; as well as a stock alpine system. stock 20inch dodge factory rims with new tires,16992.8337358
6195694009,2017-06-27 17:20,sfbay,CA,dodge,charger,7500,2008,90000,https://sfbay.craigslist.org/eby/cto/d/charger/6195694009.html,2008 charger v6,condition: excellent#cylinders: 6 cylinders#drive: rwd#fuel: gas#title status: clean#transmission: automatic,https://images.craigslist.org/00m0m_6OmvS32FEmr_600x450.jpg,2008 dodge charger v6. 2.7l#in good condition; interrior i give it a 9/10 and the exterrior a 9/10 as well. car does hold a clean title and has 90xxx miles. we are the 3rd owner i believe.  good reliable car. its on 22s dont know the brand on the top of my head but give us a call!,9004.47863231
6210487764,2017-07-08 11:08,sfbay,CA,dodge,charger,25000,2007,72000,https://sfbay.craigslist.org/sby/cto/d/dodge-charger-srt/6210487764.html,dodge  charger srt8,condition: excellent#cylinders: 8 cylinders#fuel: gas#odometer: 72000#paint color: black#title status: clean#transmission: automatic,https://images.craigslist.org/00H0H_j2AQpgV6CF5_600x450.jpg,selling my srt8 charger (first gen) 2007 6.1l v8 motor#its in great condition. all original body with few upgrades for performance.#all black exterior with 2 tone interior (black/silver) leather with suede seats all around.#kicker comp speaker upgrade inside car (clean sound) and 10 kicker custom sub in trunk of car (no rattling sound) with full use of trunk.#20 rims all black for sport look; light weight rims for speed. (purchased in 2016) rim size 20 x 9#eibach pro struts all around for lowering and shock absorbing . 2 inch drop for stance (no wheel rub) (done in 2016)#eibach sport sway bars in front and rear for better handling at high speeds and turns (done in 2016)#mopar air intake system (done in 2015)#inertia pro comp camshaft (srtmaxplus) !!!not installed..!!!! but will inlcude if price is right. if you want the agressive chop sound then this add on will get you that plus more power to engine. bigger louvers for better flow#borla atak exhaust system (aggressive sound) with cats (smog//carb legal) (done in 2015)#power windows and seats. limo tint all around.#72;000 miles and original paint. rececntly fully serviced engine. oil changed every 3 months. charger has always been covered and in garage. all servicing has been done at dodge dealership.#i will also included original srt8 20 inch rims (in good condition) always polished and in rim size boxes for protection and dust free.#all power items are fully functional with no problems. car runs and drives great. fast car with great handling to match. perfect starter race car and ready to go on the street.#serious buyers only no low ballers#price set at 25;000 for a ready built race car. low milage for the year it is.#please feel free to contact me by phone or text only#show contact info,23195.5816445
6198137720,2017-06-29 12:57,sfbay,CA,dodge,charger,2500,2008,119000,https://sfbay.craigslist.org/sby/cto/d/dodge-charger/6198137720.html,2008 dodge charger,fuel: gas#title status: clean#transmission: automatic,https://images.craigslist.org/00K0K_33RTkT875Ed_600x450.jpg,hello; i am selling a 2008 dodge charger.#it has 119;000 miles on it.#all around great car. drives amazing.#only problem is; it was involved in a car accident. i was rear ended on the left side of the vehicle. so the left quarter panel needs to be replaced. after the accident the car still drives great; ive driven it to santa cruz; sf; and modesto with no issues. i am selling for 2500; but willing to negotiate. please serious inquires only#casssh only !!,6548.57141588
6220074575,2017-07-23 23:41,sfbay,CA,dodge,charger,20900,2015,45687,https://sfbay.craigslist.org/scz/cto/d/dodge-charger/6220074575.html,2015 dodge charger,fuel: gas#odometer: 45687#title status: clean#transmission: automatic,https://images.craigslist.org/00202_bTvDvOBs0Ui_600x450.jpg,2015 dodge charger#45;687 miles#excellent condition#clean car fax#white color#black rims 22 inch#call me at#show contact info,21340.8667568
6178220301,2017-07-14 08:04,sfbay,CA,dodge,charger,7000,2009,100000,https://sfbay.craigslist.org/eby/cto/d/dodge-charger-hemi/6178220301.html,2009 dodge charger hemi,condition: fair#cylinders: 8 cylinders#fuel: gas#odometer: 1000000#size: full-size#title status: clean#transmission: automatic,https://images.craigslist.org/00V0V_7CawdAmHL5c_600x450.jpg,i have 2009 charger hemi for sale.#it was a ex cop car#miles on car 1.000.000#car runs good.#kelley blue book car is valued at around 9.000#it just has a leak on power steering.#will trade for gas saver car;#no more then 1.020.00 miles on it#no older  then 2007#show contact info,6596.64997934
6231717598,2017-07-24 21:15,sfbay,CA,dodge,charger,25000,2016,18000,https://sfbay.craigslist.org/eby/cto/d/dodge-charger-sxt/6231717598.html,2016 dodge charger sxt,cylinders: 6 cylinders#drive: rwd#fuel: gas#odometer: 18#paint color: purple#size: full-size#title status: clean#transmission: automatic,https://images.craigslist.org/00f0f_kW8dwsJJTL4_600x450.jpg,selling my 2016 dodge charger sxt rwd v6. car is fully loaded. blacktop package. has the limited edition plum crazy purple color.#heated and cooled front seats#heated rear seats#heated steering wheel#navigation#alpine audio#18k miles but is a daily driver so will go up#i do still owe on the title through safe america credit union. asking $25000 obo.,27027.2144406
6234084689,2017-07-24 12:50,sfbay,CA,dodge,charger,11500,2006,70232,https://sfbay.craigslist.org/sby/cto/d/dodge-charger-t-rt-owner-hemi/6234084689.html,2006 dodge charger r/t rt 1owner hemi 70kmiles 2007,condition: like new#cylinders: 8 cylinders#fuel: gas#odometer: 70232#title status: clean#transmission: automatic,https://images.craigslist.org/00909_bqPwGIda13M_600x450.jpg,2006 dodge charger rt#1 owner#only 70k miles#like new#leather#heated seats#runs excellent#call; not text 4o842nine8777#srt8 srt-8 scat pack chrysler 300c 2005 2008 2009 2010,12623.544376
