PID,POSTTIME,CITY,STATE,MAKE,MODEL,PRICE,YEAR,MILES,URL,TITLE,ATTR,IMGLINK,MESSAGE,PRICEPRED
6185912143,2017-07-17 19:46,sfbay,CA,honda,crv,6999,2018,170123,https://sfbay.craigslist.org/eby/cto/d/crv-honda-and-ex-clean/6185912143.html,08 crv honda and ex clean title in hand 2018 tags honda inspection !!!,fuel: gas#odometer: 170123#title status: clean#transmission: automatic,https://images.craigslist.org/00f0f_2hXpG6U3lDM_600x450.jpg,08 crv ex honda awd 4x4#clean title in hand#clean carfax in hand#honda inspection completed#all recalls completed#170k miles#drives good#smooth transmission#call if you are serious#9 1 6 - 5 9 6 - 8 5 8 2,15412.5897155
6221869530,2017-07-16 07:19,sfbay,CA,honda,crv,8495,2007,151000,https://sfbay.craigslist.org/eby/cto/d/honda-crv-ex-clean-title/6221869530.html,2007 honda crv ex (clean title),condition: excellent#fuel: gas#odometer: 151000#title status: clean#transmission: automatic,https://images.craigslist.org/00E0E_2PUFB0LnhX5_600x450.jpg,clean title#151000 miles#1 owner#runs great#very clean#good tires#im a independent dealership in fremont#financing available#show contact info#hablo espanol#con 2000 de entre se la puede llevar#gracias llameme para darle mas informacion,8127.26408309
6211963496,2017-07-09 12:41,sfbay,CA,honda,crv,16900,2014,21244,https://sfbay.craigslist.org/eby/cto/d/honda-crv-for-sale/6211963496.html,2014 honda crv for sale! fantastic condition and super low miles,fuel: gas#odometer: 21244#title status: clean#transmission: automatic,https://images.craigslist.org/00I0I_3yCoZ1dSW3D_600x450.jpg,this is a great car. used mainly for a few of miles of daily commute to work. thats why the miles are so low. well maintained. selling because we need a larger car.,17894.1083133
6209207662,2017-07-07 13:33,sfbay,CA,honda,crv,5100,2003,176000,https://sfbay.craigslist.org/pen/cto/d/honda-crv/6209207662.html,2003 honda crv,condition: good#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 176000#paint color: blue#size: compact#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00606_gsB17IT3nCG_600x450.jpg,the car runs fantastic and will continue running just the same;reason to which i am selling this car is to cut down my expenses since i can walk to work;the car is dark blue with aluminum rims and it has side railings with a moon roof that flips up or slides open;it also comes with a rack mounted on top of the car;which is a hard combination to find and many more.#call or text;#show contact info,4675.62936877
6215666753,2017-07-17 21:42,sfbay,CA,honda,crv,1700,2001,108492,https://sfbay.craigslist.org/sby/cto/d/honda-crv/6215666753.html,2001 honda crv,fuel: gas#odometer: 108492#title status: lien#transmission: automatic,https://images.craigslist.org/01010_lG1DbDCQXIG_600x450.jpg,tow yard lien sale. up for sale is a 2001 honda crv. mechanic special.  runs but has engine stalls at low idle.  tags expired may 2015 .  $1700.#show contact info,5587.56066289
6215429791,2017-07-13 06:08,sfbay,CA,honda,crv,1500,2005,223456,https://sfbay.craigslist.org/scz/cto/d/honda-crv-lien-sale/6215429791.html,2005 honda crv lien sale,fuel: gas#title status: lien#transmission: automatic,https://images.craigslist.org/00P0P_53MC6PWVfES_600x450.jpg,2005 honda cdv..lien sale paperwork.....223456 miles.....damaged on the doors not the pillar....$1500.....located in santa cruz ca 95061,2885.24268938
6225646094,2017-07-18 15:57,sfbay,CA,honda,crv,3100,2003,215000,https://sfbay.craigslist.org/sby/cto/d/honda-crv/6225646094.html,2003 honda crv - $3100,condition: excellent#cylinders: 4 cylinders#fuel: gas#odometer: 215000#paint color: red#title status: clean#transmission: automatic,https://images.craigslist.org/00P0P_3RePGGn3fpy_600x450.jpg,2003 honda crv; clean title; automatic; no mechanical issues; just passed the smog; registered until july 2018; 215;xxx miles still in great running condition; vtec engine; inside 10/10; ac/heater. asking $3;100 or best reasonable offer.#text#show contact info#hablo espanol,3300.00255231
6223582123,2017-07-17 10:32,sfbay,CA,honda,crv,12000,2007,150000,https://sfbay.craigslist.org/sby/cto/d/honda-crv-for-sale/6223582123.html,honda crv 2007 for sale,fuel: gas#odometer: 150000#title status: clean#transmission: automatic,https://images.craigslist.org/00K0K_6c6i1cCW1Nw_600x450.jpg,selling my crv . nothing wrong with it.. i just need it gone.,9130.32470274
6199324168,2017-07-11 07:21,sfbay,CA,honda,crv,12500,2011,100000,https://sfbay.craigslist.org/eby/cto/d/honda-crv-exl/6199324168.html,2011 honda crv exl,VIN: JHLRE3H73BC012577#condition: excellent#fuel: gas#odometer: 100000#paint color: white#title status: clean#transmission: automatic,https://images.craigslist.org/00V0V_k3dDhAFVOkY_600x450.jpg,im selling my honda crv exl.#i purchased this car just one year ago.#but i have to buy a van because of my babies.#excellent condition!!!!!!#100000mile#changed new tire#no accident#clean title#leather seat#$125000#serious buyers only please!!!!,12928.0879455
6226262636,2017-07-19 06:43,sfbay,CA,honda,crv,4000,2000,174000,https://sfbay.craigslist.org/sby/cto/d/honda-crv/6226262636.html,2000 honda crv,cylinders: 4 cylinders#fuel: gas#odometer: 174000#paint color: grey#size: mid-size#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00r0r_ep4NtsTdUqx_600x450.jpg,2000 silver honda crv. it is a great car for a young student or family. it is an extra car for us so it does sit a lot. the battery is weak due to sitting. please let me know if you are interested,4044.45562098
