PID,POSTTIME,CITY,STATE,MAKE,MODEL,PRICE,YEAR,MILES,URL,TITLE,ATTR,IMGLINK,MESSAGE,PRICEPRED
6195950380,2017-06-27 22:50,sfbay,CA,subaru,forester,22000,2015,11000,https://sfbay.craigslist.org/sfc/cto/d/subaru-forester-premium/6195950380.html,2015 subaru forester 2.5i premium - 11k miles,condition: excellent#fuel: gas#odometer: 11000#title status: clean#transmission: automatic,https://images.craigslist.org/00d0d_3mI068xZj8R_600x450.jpg,selling my subaru because im getting a newer car. this forester has been well maintained and has lots of nice options!#here are the vehicle details -#- year: 2015#- make: subar#- model: forester#- trim: 2.5i premium#- miles: 11;000#- transmission: automatic#- drive: awd#options:#- bluetooth#- backup camera#- premium package,20398.2248359
6223947757,2017-07-17 14:04,sfbay,CA,subaru,forester,6400,2005,111000,https://sfbay.craigslist.org/pen/cto/d/subaru-forester-xs-awd/6223947757.html,2005 subaru forester 2.5 xs; awd; clean title,VIN: JF1SG65695H726393#condition: excellent#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 111000#paint color: silver#title status: clean#transmission: automatic#type: wagon,https://images.craigslist.org/00t0t_6vwmyM2aW5e_600x450.jpg,i am selling my 2005 subaru forester 2.5xs with 111k miles. it comes with abs; a/c heater; power doors and windows; cruise control; power steering tilt wheel; cd; radio; bluetooth; dual airbags; f&r side airbags; power seat; partially leather seats; quad seating (4 buckets); moonroof; roof rack; alloy wheels. never been in an accident. clean title.#if you are interested please give me a call. my number is#show contact info#vin. jf1sg65695h726393,6935.87707347
6209056377,2017-07-11 16:36,sfbay,CA,subaru,forester,3900,2001,212000,https://sfbay.craigslist.org/eby/cto/d/subaru-forester/6209056377.html,01 subaru forester,cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 212000#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00v0v_jPvhNuAASOc_600x450.jpg,runs great#new head gasket; timing belt; water pump; tensioner and other gaskets#automatic#tires have great tread#blutooth stereo#clean title#212;xxx on chasis#5;000 miles on head gasket rebuild#$3900 obo#key words: impreza; wrx; sti; awd; 4x4; outback; crosstrek; legacy; off-road; rwd; drift; pick up; mustang; commuter; civic; mpg; fwd,3144.74984019
6208200066,2017-07-12 07:33,sfbay,CA,subaru,forester,10000,2006,288375,https://sfbay.craigslist.org/sby/cto/d/subaru-forester-bean/6208200066.html,2006 subaru forester bean,condition: excellent#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 288375#paint color: green#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/01212_35SxDXkPvlY_600x450.jpg,my aunt is selling this beauty. she is a 2006 green forester bean edition. looking for $10k or best offer. she has just gotten her oil change; a brand new battery; new anti-freeze and she is well kept. please let us know if you guys are interested in this baby!!! all wheel drive.#contact kwantar @ 4o8-933-8329,9262.48041731
6218761662,2017-07-14 01:14,sfbay,CA,subaru,forester,2500,2001,240000,https://sfbay.craigslist.org/sby/cto/d/subaru-forester/6218761662.html,2001 subaru forester,condition: fair#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 240000#paint color: white#size: mid-size#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/01010_hdsjzwWcFgq_600x450.jpg,2001 subaru forester white. runs and drive good. registered until 2018. clean title. 240k.  asking $2500 or best reasonable offer. please serious buyers only. thanks.,2819.69764275
6221425634,2017-07-16 15:37,sfbay,CA,subaru,forester,1800,2001,189413,https://goldcountry.craigslist.org/cto/d/subaru-forester-manual-obo/6221425634.html,2001 subaru forester s manual $1800/obo sold!,VIN: JF1SF65691G734934#condition: good#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 189413#paint color: silver#title status: clean#transmission: manual#type: SUV,https://images.craigslist.org/00x0x_bbx4zK9GDHw_600x450.jpg,we are traveling out of the country for a year and need to sell our much-loved 2001 subaru forester. it was parked for many years on the streets of san francisco; so has a few dings and scrapes; but we are the original owners and have always serviced it regularly and kept it in great running order. we just spent $900 on the a/c and a new rear bearing.#automatic 2.5l engine 4 cylinder with 189143k miles#air conditioning#front airbags - dual#front fog lights#6 disc cd player & am/fm radio#radio - am/fm#power door locks; windows; rear wiper; and large moonroof#heated front seats#roof rack#cloth upholstery in very good condition#alloy wheels#runs and drives great,2905.40272485
6215344464,2017-07-11 16:10,sfbay,CA,subaru,forester,6000,2004,129000,https://sfbay.craigslist.org/sfc/cto/d/subaru-forester-xt-mt/6215344464.html,2004 subaru forester xt 5mt,VIN: JF1SG69644G722850#fuel: gas#odometer: 129000#title status: clean#transmission: manual,https://images.craigslist.org/00202_56ZeJvp37su_600x450.jpg,hi all. i have a forester xt for sale with several modifications done to it. price is lowered accordingly; as the car will soon need head gasket work done. i have paperwork for all work done prior. car is in excellent shape otherwise. best offer takes her home.#i am keeping the roof box.#engine:#aps s/r 30 turbo with accompanying mods#turbosmart electronic turbo timer#perrin big tmic#perrin/cobb inlet hoses#hks ssqv bov#cobb accessport v2#cobb turbo back exhaust; hfc downpipe#tomei unequal length headers#cobb sf intake#custom fab. skid plate#drivetrain:#kartboy short shifter#kartboy shifter bushings#group n - tranny mount#brakes:#2006 wrx brakes#hawk hps pads (need replacing soon)#custom stainless steel brake lines front & rear#wheels:#summer: 18x8.5 rota gravels w/ michelin pss#winter: 17x7 sparco terra gravel (gold) w/ nokian hakkapelliita snow tires#suspension:#summer: wrx wagon h-techs springs; kyb struts#winter: stock ride height king springs with kyb struts#i have a set of struts for each spring setup.#whiteline front and rear strut bars#interior:#oem center dash gauge pod w/ oem voltage and oem oil temp gauge; aftermarket boost gauge#wrx limited one-piece front seats with oem working heaters.#bride cloth material shift boot and e-brake cover#shift knob 3 inch extension and weighted flossy shift knob#the car will come with brand new headlights with hid projectors already installed. the old headlights are included in boxes in the trunk. further; i have a brand new sti steering rack and a set of winter wheels and tires that i will be willing to sell with the car as well for the right price.#text me with questions or reply to this email.,6126.93874225
6184143524,2017-07-10 16:09,sfbay,CA,subaru,forester,6500,2004,171600,https://sfbay.craigslist.org/eby/cto/d/subaru-forester-xt-premium/6184143524.html,2004 subaru forester 2.5 xt premium package awd silver,VIN: JF1SG69604H724587#condition: excellent#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 171600#paint color: silver#size: full-size#title status: clean#transmission: automatic#type: wagon,https://images.craigslist.org/01111_jD5juAwLdXq_600x450.jpg,2004 subaru forester 2.5 xt premium package awd#4-speed automatic transmission#2.5l dohc intercooled turbo engine#exterior color: platinum silver metallic#interior color: black leather#have current smog certificate#beautiful car; original owner; clean carfax!  car has been well maintained since purchased brand new in 2004.   interior is clean and free from rips and cracks in the leather.  all the electronics are working.  front windshield wiper pump needs to be replaced.  tires are approximately 2 years old.  have all original documentation if requested.,5671.30169804
6214183981,2017-07-16 20:41,sfbay,CA,subaru,forester,1800,1999,118000,https://sacramento.craigslist.org/cto/d/subaru-forester/6214183981.html,1999 subaru forester l,VIN: JF1SF6350XG715868#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 118000#title status: clean#transmission: manual#type: wagon,https://images.craigslist.org/01616_anA6JBw2Ju1_600x450.jpg,i have had fun keeping the forester as my daily; but i recently upgraded to a 4runner and am preparing to move to another city within the next month; and dont plan on taking her with me.#heres whats up so far:#exterior: 8/10; a few door dings. ive kept up with keeping rock chips cleaned and covered with touch up paint.#interior: 8/10; no rips; just minor stains from previous owner; comes with complimentary seat covers to keep the seats in good condition.#pros:#- up to date tags; passed smog through to january 2018#- full timing belt package belts; pulleys; waterpump; spark plugs; head gaskets replaced at 95k miles. old one had a seal crack but didnt blow; both were replaced.#- new radiator#- co2 censor replaced beginning of february#- compustar alarm with horn; keyless entry; spare fob and lifetime warranty#- two-way pioneer speakers; subaru tweeters (hard to find)#- wiring for an 8in bazooka tube (tube not included)#- new pcv valve#- cold a/c#- clutch still has good pressure and shifts smoothly#- title in hand with mechanic receipts for the work done.#- replaced double din deck with original forester deck; the wiring is still there; should you decide to put another one in.#- cabin filter changed#- spark plugs changed two weeks ago during a diagnosis check#cons:#- she is currently leaking oil. i keep up with the oil levels and top them off over the weekend.#- cylinder 3 is losing compression and sits at 90 psi; the cause most likely being from a leaky exhaust valve. cant be head gaskets or rings because the car had that work taken care of recently.#- throw out bearing may need to be replaced; it squeaks a bit and is mostly a minor annoyance and can probably wait to be changed when the clutch needs to be done.#gas cap door has been replaced with the original#this wagon needs work but runs very well despite its setbacks. there is no check engine light and you wouldnt even know that there was a problem. you can drive it home and to work but i wouldnt recommend any long trips in her current state.#if you are interested; feel free to contact me at#show contact info#i also respond via email.#thanks for your time.,3992.76354873
6221110376,2017-07-15 13:19,sfbay,CA,subaru,forester,7000,2005,149000,https://sacramento.craigslist.org/cto/d/subaru-forester/6221110376.html,2005 subaru forester,fuel: gas#title status: clean#transmission: automatic,https://images.craigslist.org/00606_1F9vnP4xjuM_600x450.jpg,2005 subaru forester#ll bean edition#149k miles#newer transmission and head gaskets#$7;000 pretty firm#email or text#show contact info#at time of sale we will go to dmv together to register the car in your name.,5368.8889394
6223334045,2017-07-17 08:17,sfbay,CA,subaru,forester,5800,2006,162000,https://sfbay.craigslist.org/nby/cto/d/subaru-forester-premiun/6223334045.html,2006 subaru forester 2.5x premiun,VIN: JF1SG65616H747353#condition: good#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 162000#paint color: silver#size: mid-size#title status: clean#transmission: automatic#type: wagon,https://images.craigslist.org/00k0k_k4JkDcHwiUP_600x450.jpg,fine suv choice; excellent crash test scores. view is clear and unobstructed. the interior and steering wheel are well designed. it doesnt sit so high as to make it difficult for some to get into and out. the gas mileage is a plus also.#this vehicle is a pleasure to drive. the 4 cylinder engine delivers plenty of power and steering is extremely responsive. ride is comfortable; leg; shoulder and head room are all very sufficient. as to reliability we havent had any major repairs besides the recommended maintenance.#recently replaced items:#brakes#starter#tires#a/c and heating system checked#drive belts checked#head gaskets along with timing belt and water pump,4861.31495794
6192624129,2017-06-25 14:13,sfbay,CA,subaru,forester,1000,2005,253000,https://sfbay.craigslist.org/scz/cto/d/subaru-forester-xs/6192624129.html,2005 subaru forester xs 2.5,condition: good#cylinders: 4 cylinders#fuel: gas#odometer: 253000#paint color: silver#title status: clean#transmission: automatic#type: wagon,https://images.craigslist.org/00s0s_9BAcB2xGAYO_600x450.jpg,$1000. this car is in great shape; no accidents; new tires; clean clean interior; runs but will need a new engine.#see photos!,3170.0309977
6222299012,2017-07-16 12:02,sfbay,CA,subaru,forester,5010,2003,158000,https://modesto.craigslist.org/cto/d/subaru-forester/6222299012.html,subaru 2003 forester,condition: good#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 158000#size: mid-size#title status: clean#transmission: automatic#type: wagon,https://images.craigslist.org/00F0F_kIopsVe0Og9_600x450.jpg,after many years of faithful service it is time for a new home for our 2003 forester. yes there are a few nicks and imperfections. yes it is in very good condition. new headgaskets just fitted and already smogged for you to drive for many miles to come. what to have a fun spunky car? here ya go work or play? no we will not finance it for you. no we do not want to trade for your cool stuff. why sell it? we bought subaru 4 a new outback for our last car; well maybe our last one.,3908.22349948
6222695893,2017-07-16 17:09,sfbay,CA,subaru,forester,34500,2017,5700,https://sfbay.craigslist.org/sfc/cto/d/subaru-forester-xt-touring/6222695893.html,2017 subaru forester 2.0 xt touring with extended warranty low miles,VIN: JF2SJGWC7HH513700#condition: like new#cylinders: 4 cylinders#fuel: gas#odometer: 5700#paint color: white#size: mid-size#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00L0L_2ehteoLQjB1_600x450.jpg,i am unexpectedly leaving the country and need to sell my brand new forester. i bought it early january; and it has been driven very little and with care. it is in near perfect condition with no scratches; dings; misuse; or messes. it comes with a transferrable 72 months/75;000 extended warranty of which 54 months are left.#the car is loaded; package 33; with top safety features; including blind spot detection; eyesight; navigation; turbo; keyless/remote start; and many features i never used.#im happy to send more photos on request.#serious inquiries only please.#ps. if you cant handle someone asking for your whole name on craigslist as relates to my familys safety; dont bother replying.,27207.7652183
6212191186,2017-07-13 16:15,sfbay,CA,subaru,forester,3000,2003,129000,https://goldcountry.craigslist.org/cto/d/subaru-forester/6212191186.html,03 subaru forester,condition: good#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 129000#paint color: white#size: mid-size#title status: clean#transmission: automatic#type: hatchback,https://images.craigslist.org/00s0s_cQLIxoRn5qX_600x450.jpg,03 subaru forester in good condition.#129k miles#$3000/obo#4wd#roof rack#working a/c#some dog hair#this car has a hole in the exhaust. it can be fixed at sierra muffler for $100. it also had a punctured tire; so it has the spare on now. youll need to get new tires. also the drivers side window is stuck up.,4521.74591083
6221534103,2017-07-17 22:23,sfbay,CA,subaru,forester,2400,2000,138000,https://sfbay.craigslist.org/pen/cto/d/subaru-forester-awd/6221534103.html,subaru forester awd,condition: excellent#fuel: gas#odometer: 138#title status: clean#transmission: automatic,https://images.craigslist.org/00m0m_aC3fgPF62uO_600x450.jpg,clear title#138k miles#transmission#engine#smog in hands#title in hands#recently tune up#no mechanical problems#shocks good#clean inside out#serious buyers only please call or text#show contact info,3832.33012285
6205057241,2017-07-04 20:37,sfbay,CA,subaru,forester,20500,2014,44000,https://sfbay.craigslist.org/sby/cto/d/subaru-forester-limited/6205057241.html,2014 subaru forester 2.5i limited,condition: excellent#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 44000#paint color: silver#title status: lien#transmission: automatic,https://images.craigslist.org/00B0B_hqzRC6Rz7Jj_600x450.jpg,this is an awesome car! i love it and hate to see it go; but i need to sell it.#2014 subaru forester 2.5i limited sport utility 4d#170-hp 2.5-liter subaru boxer  engine#lineartronic   cvt#symmetrical all-wheel drive#x-mode control#17-inch aluminum-alloy wheels#roof rails#fog lights#panoramic power moonroof#6-speaker single-cd hd radio  audio system#voice activated gps navigation system with 6-speaker hd radio  premium audio system#bluetooth  audio streaming and hands-free phone connectivity#satellite radio capable#usb port with ipod  control connectivity#heated front seats#leather-trimmed upholstery#automatic climate control#power rear gate#rear-vision camera (back-up camera)#total of seven airbags (srs)#power seats & windows#includes 4 all-weather mats; trunk weather mat; trunk cover; 2 bucket seat covers; bench seat cover; and 4 carpet floor mats.#regular services & maintenance; last serviced on july 5th; 2017.#willing to consider serious offers. pick up only; cash/cashiers check/money order only.,21115.7175019
