PID,POSTTIME,CITY,STATE,MAKE,MODEL,PRICE,YEAR,MILES,URL,TITLE,ATTR,IMGLINK,MESSAGE,PRICEPRED
6215733671,2017-07-17 22:13,sfbay,CA,toyota,rav4,4800,1999,135318,https://sfbay.craigslist.org/eby/cto/d/rav-clean-title-low-mileage/6215733671.html,rav4 1999 clean title low mileage,condition: excellent#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 135318#paint color: green#size: mid-size#title status: clean#transmission: manual#type: SUV,https://images.craigslist.org/01212_kTg89oLJodn_600x450.jpg,its only 135;318- mileage !#changed timing belt last year.#everything working fine except the crack in the windshield. ( its been there for more than 6 years.  its not growing anymore.  it costs around $150 if you want to replace it).#i have all the service records; manual; repair records.#kbb price:#http://www.kbb.com/toyota/rav4/1999-toyota-rav4/sport-utility-4d/?category&intentbuy-used&pricetypeprivate-party&conditionexcellent&persistedconditionexcellent&quizconditions&options231600true231600false231600true231608true231621true231627true231644true231708false231715true231729true231769true&path&vehicleid6069&mileage135000#max seating: 5#doors: 4#engine: 4-cyl; 2.0 liter#drivetrain: 4wd#transmission: manual; 5-spd#epa class: sport utility vehicles#body style: sport utility#country of origin: japan#country of assembly: japan,5456.11923154
6202169695,2017-07-09 08:54,sfbay,CA,toyota,rav4,15999,2012,35600,https://sfbay.craigslist.org/eby/cto/d/toyota-rav/6202169695.html,2012 toyota rav4,condition: excellent#cylinders: 6 cylinders#drive: 4wd#fuel: gas#odometer: 35600#paint color: silver#size: full-size#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00P0P_ekAvHki0zIl_600x450.jpg,2012 toyota rav4:#engine: 3.5 l dohc sfi 24-valve dual vvt-i v6 engine.#transmission:automatic.#drive:front wheel drive.#body: 4d sport utility.#miles:35;000.#color:silver gray.#condition:good.#phone number:#show contact info#( please 4pm after call me;4pm before leave a message)#show contact info#chinese,16861.540503
6222496136,2017-07-18 15:19,sfbay,CA,toyota,rav4,8700,2007,142000,https://sfbay.craigslist.org/eby/cto/d/toyota-rav-limited-wd/6222496136.html,2007 toyota rav4 limited 4wd,cylinders: 6 cylinders#drive: 4wd#fuel: gas#title status: clean#transmission: automatic,https://images.craigslist.org/01616_lnvFxwBi3r5_600x450.jpg,im selling a 1 owner; clean rav4. only has 142000 miles. clean title; current registration; clean carfax; recent oil change; just passed smog. this is a limited edition so its loaded with options.#v6#automatic transmission#4wd#leather seats#power seats#heated seats#power windows#power locks#power mirrors#power steering#cruise control#cd 6 disc changer#jbl system with mp3/aux#ac#abs#srs#roof rack#ski rack#new tires#alloy wheels#fog lights#keyless entry alarm#show contact info,7736.95606135
6164995108,2017-06-30 13:02,sfbay,CA,toyota,rav4,2400,1998,189000,https://sfbay.craigslist.org/eby/cto/d/toyota-rav/6164995108.html,1998 toyota rav4,condition: good#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 189000#paint color: silver#size: mid-size#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00t0t_biL5z1DFCLU_600x450.jpg,1998 toyota rav4 ;is in good condition with 189;000miles on it! silver / with grey cloth interior / fuel injected 4;cylinder engine / with a automatic transmission / current reg;nov;2017. / clean title / clean interior / clean body / $2400 or best offer;#show contact info#ask for charles....(mon - sat; 9am to 6pm). (note; rear window needs to be replaced.),3448.75620101
6221527440,2017-07-15 19:43,sfbay,CA,toyota,rav4,7515,2006,105011,https://sfbay.craigslist.org/eby/cto/d/toyota-rav/6221527440.html,2006 toyota rav4,VIN: JTMZD33V766017694#condition: good#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 105011#title status: clean#transmission: automatic,https://images.craigslist.org/00q0q_3tfPv557Dvu_600x450.jpg,up for sale is 2006 toyota rav4  in excellent running condition#clean title (carfax report)#mileage: 105;011#engine runs great and transmission shifts smooth#no any mechanical issue#clean in and out#smog passed today#-4-cyl; 2.4 liter engine#-automatic transmission & 2wd#-abs (4-wheels)#-air conditioning#-power door locks#-power windows#-cruise control#-am/fm/mp3 player#-dual air bags#-privacy glass#-roof rack#selling price: $7;515#please call 510-3o4-539o for appointment to see and test drive the suv at 41601 albrae street; fremont; ca 94538 (for sale by dealership),6859.52694506
6155165238,2017-06-29 10:36,sfbay,CA,toyota,rav4,5500,2004,192000,https://sfbay.craigslist.org/nby/cto/d/toyota-rav/6155165238.html,toyota rav4 2004,condition: excellent#fuel: gas#paint color: silver#title status: clean#transmission: automatic,https://images.craigslist.org/00B0B_4Rb6xjdDU5X_600x450.jpg,192;000 miles#good condition#clean title#selling because got a new car & dont use it as much.,4800.31878225
6203245724,2017-07-18 12:03,sfbay,CA,toyota,rav4,4500,1999,89000,https://sfbay.craigslist.org/eby/cto/d/toyota-rav-only-original/6203245724.html,1999 toyota rav4 only 89k original miles,condition: like new#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 89#paint color: grey#title status: clean#transmission: manual,https://images.craigslist.org/00M0M_flao7YfVIcW_600x450.jpg,if you are looking for a straightforward reliable excellent condition car look no further.  we have had the rav4 for a short while and my wife has decided that she wants a jeep wrangler rubicon so we are selling this as a down payment.#- clleeeean#- clean title as well#- everything works#- no leaks#- smogged#- newish tires couple months old#- power windows#- power steering#- factory cd player option#- moon roof#- cruise control#- etc,4291.00658243
6216962632,2017-07-12 17:22,sfbay,CA,toyota,rav4,3500,1999,121573,https://sfbay.craigslist.org/sby/cto/d/toyota-rav-convertible-for/6216962632.html,toyota rav4 convertible for sale,condition: good#drive: fwd#fuel: gas#odometer: 121573#paint color: white#size: compact#title status: clean#transmission: automatic#type: convertible,https://images.craigslist.org/01212_lfZGXmr34Pb_600x450.jpg,limited edition two door; soft-top convertible. also has a removable sunroof. car has only had two owners and has been serviced regularly and records kept. tires recently replaced. city 19/hwy 23 mpg.,4223.33159598
6195417854,2017-06-27 13:44,sfbay,CA,toyota,rav4,6000,2006,158000,https://sfbay.craigslist.org/eby/cto/d/toyota-rav-for-sale/6195417854.html,2006 toyota rav4 for sale,condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 158000#paint color: silver#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/01616_fNERvD2AFZf_600x450.jpg,very nice 2006 toyota rav4 for selling now.#contact#show contact info,6477.64599065
6224524493,2017-07-17 23:46,sfbay,CA,toyota,rav4,5300,2001,141110,https://sfbay.craigslist.org/pen/cto/d/toyota-rav-cilinders/6224524493.html,toyota rav4.    4 cilinders.,condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 141110#paint color: silver#size: full-size#title status: clean#transmission: automatic#type: other,https://images.craigslist.org/01111_4a0vgNDpJH1_600x450.jpg,selling toyota rav4.  is 4 cilinders.   automatic.  141110 miles.     no leaking   very good conditions.    vendo rav4.      es 4 cilindros.#show contact info#text para mas informasion.    $5300,5084.98713075
6207357558,2017-07-17 03:54,sfbay,CA,toyota,rav4,12000,2002,80777,https://sfbay.craigslist.org/sby/cto/d/toyota-rav-ev/6207357558.html,2002 toyota rav4 ev,condition: like new#cylinders: other#drive: fwd#fuel: other#odometer: 80777#paint color: silver#size: sub-compact#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/01616_fgLz0GErur3_600x450.jpg,2002 toyota rav-4 ev#1 of only 348 made in 2002#original first generation rav4 electric vehicle#this is not a hybrid#this is not a conversion#single occupancy carpool sticker#white hov sticker#only 80;777 original miles#gray cloth interior has no rips; stains; tears; holes#non-smoker#no pets#adult owned#clean title#immaculate body#immaculate interior#never been in an accident#i am selling with original car charger#god bless,11087.6194914
6197132552,2017-07-09 17:27,sfbay,CA,toyota,rav4,23500,2017,6400,https://sfbay.craigslist.org/eby/cto/d/toyota-rav-le/6197132552.html,2017 toyota rav4 le,condition: new#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 6400#paint color: grey#size: mid-size#title status: lien#transmission: automatic#type: SUV,https://images.craigslist.org/01414_hGigEQpCiQv_600x450.jpg,2017 toyota rav4 le for sale. excellent/perfect condition. low mileage (mostly highway). purchased brand new in october 2016. recently relocated to the bay area; and no longer need use of the vehicle.#vehicle features:#lane departure warning system#traction control#security system#air conditioning#power windows#power door locks#power steering#tilt & telescoping wheel#dynamic cruise control#am/fm stereo#mp3 (single disc)#premium sound#bluetooth wireless#entune audio#r/v camera#dual air bags#side air bags#knee air bags#privacy glass#daytime running lights#roof rails#rear spoiler#new tires#additional information:#one owner; non-smoker#all scheduled maintenance#all records#still under factory warranty#no accidents#clean interior and exterior,28569.5597009
6222151997,2017-07-16 10:23,sfbay,CA,toyota,rav4,7500,2008,114000,https://sfbay.craigslist.org/sby/cto/d/toyota-rav-for-sale/6222151997.html,2008 toyota rav4 for sale!,fuel: gas#odometer: 114000#title status: clean#transmission: automatic,https://images.craigslist.org/00202_iSfju01e9Uu_600x450.jpg,selling our used 2008 white toyota rav4#great conditions#approx 114;000 miles#new tires!#$7500#serious buyers please!#email for vin & more information.,9027.80431615
6224437025,2017-07-17 20:58,sfbay,CA,toyota,rav4,13500,2009,94837,https://sfbay.craigslist.org/scz/cto/d/toyota-rav-limited-must-sell/6224437025.html,toyota rav4 limited 2009 - must sell!,VIN: JTMBK31V99D006237#condition: excellent#drive: 4wd#fuel: gas#odometer: 94837#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00F0F_9fYfvp51eW5_600x450.jpg,clean carfax printed report available - excellent condition!#vin jtmbk31v99d006237#v6; all-wheel drive#94;837 miles#brand new tires#registration good through may 2018#color: mica exterior; leather tan interior; heated seats#sunroof#email through cl; no solicitors please.#or call#show contact info,11670.5638281
6193077554,2017-06-25 22:59,sfbay,CA,toyota,rav4,4500,2000,146860,https://sfbay.craigslist.org/nby/cto/d/toyota-rav-great-condition/6193077554.html,2000 toyota rav4; great condition,condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: gas#paint color: red#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00Z0Z_bzSypuFrwwD_600x450.jpg,i am selling my beautiful; awesome rav4 because i am moving for school and will no longer need a car.#my car is in excellent condition nothing is wrong with it#-ac/heat works great#-sunroof#-back windows are tinted#-fabric interior#-built in iphone4/ipod charger#-stereo has aux#-very clean#there has only been one owner before me and i have had it for about four years now and have never had an issue with it.#146;860 miles.#e-mail me if you are interested or would like to see more pictures.#se habla espanol !,4812.49767676
6166859919,2017-07-06 20:06,sfbay,CA,toyota,rav4,8900,2010,138000,https://sfbay.craigslist.org/eby/cto/d/toyota-rav/6166859919.html,2010 toyota rav4,condition: like new#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 138000#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00h0h_2sN5Ell8SiE_600x450.jpg,hi im selling my 2010 toyota rav4 for sale. asking $8900. clean title automatic transmission; 138xxx miles; pass smog; clean inside and outside. if you need more information call me#show contact info#or#show contact info,8809.41391218
6225287757,2017-07-18 14:01,sfbay,CA,toyota,rav4,6500,2008,155000,https://sacramento.craigslist.org/cto/d/toyota-rav-sport-utility/6225287757.html,2008 toyota rav4 sport utility,condition: excellent#fuel: gas#odometer: 155000#title status: clean#transmission: automatic,https://images.craigslist.org/00V0V_anQ1y4RkkMd_600x450.jpg,2008 toyota rav4 sport utility#clean title#automatic#155k miles#all power#alloy wheels#excellent condition#price is firm $6500#call or text 916; 634; five five 08,6934.38966996
6209294961,2017-07-07 14:28,sfbay,CA,toyota,rav4,17750,2013,42000,https://sfbay.craigslist.org/sby/cto/d/toyota-rav-xle/6209294961.html,2013 toyota rav4 xle,VIN: JTMWFREV2D5010247#condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 42000#paint color: silver#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00C0C_5OBecQOYU7K_600x450.jpg,the vehicle is a silver with black interior toyota rav4 xle with power tilt/slide moon roof; cd; am/fm radio and blue tooth connections for audio and telephone. also has 100k mile transferable warranty good until june 2020. the car was just registered with registration good until june 2018.,18458.0303602
6172901129,2017-06-26 15:28,sfbay,CA,toyota,rav4,17900,2013,51000,https://sfbay.craigslist.org/sby/cto/d/toyota-rav-electric/6172901129.html,toyota rav4 electric 2013,VIN: 2t3yl4dv9dw001690#condition: like new#cylinders: other#drive: fwd#fuel: electric#odometer: 51000#paint color: white#size: mid-size#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00a0a_kttEoLP62gp_600x450.jpg,this rav4 is all electric; with white carpool stickers. rated at 105 mile range actually gets closer to 90 miles. side mounted airbags; rear airbags; antilock brakes; backup camera; auto climate control; navigation system; bluetooth; usb ports; audio controls on steering wheel.#includes a $500 kuat bike rack.#get into the carpool lane with this suv.,18766.4815661
6182874008,2017-06-18 20:31,sfbay,CA,toyota,rav4,2500,1998,139000,https://sfbay.craigslist.org/sby/cto/d/toyota-rav/6182874008.html,1998 toyota rav4,condition: fair#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 139000#paint color: custom#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/01313_bJI68Eu4gRh_600x450.jpg,1998 toyota rav4; asking $2500 obo. i am the 2nd owner bought it the way it is on the picture. what you see what you get; thanks for looking. if interested please text or call#show contact info,3273.90572621
6225088061,2017-07-18 10:09,sfbay,CA,toyota,rav4,1800,1997,251000,https://sfbay.craigslist.org/scz/cto/d/toyota-rav/6225088061.html,1997 toyota rav4,fuel: gas#odometer: 251000#title status: clean#transmission: automatic,https://images.craigslist.org/00o0o_kNTJkM0MoHA_600x450.jpg,hello; i am selling my 1997 toyota rav4 for $1800. it has has a brand new radiator and battery. the car runs well but needs work on the interior and has no a/c. it is a great car for in town.,1417.67737468
6224283930,2017-07-17 18:14,sfbay,CA,toyota,rav4,29000,2016,24000,https://sfbay.craigslist.org/sfc/cto/d/toyota-rav/6224283930.html,2016 toyota rav4,condition: new#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 24000#size: full-size#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00C0C_8IWNt5eGNrj_600x450.jpg,toyota rav4 limited awd#leather seats with sunroof#especial ------- special offer#24;000miles#price :29;000#show contact info#color : magnetic gray#full economy 25 mpg#original price the car 35;245 dlls  taxes 39 thousand dlls,28850.5315072
6192298343,2017-06-25 09:36,sfbay,CA,toyota,rav4,10000,2010,53000,https://sfbay.craigslist.org/nby/cto/d/toyota-rav/6192298343.html,toyota rav4,condition: good#cylinders: 6 cylinders#drive: 4wd#fuel: gas#odometer: 53000#paint color: green#size: mid-size#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00x0x_f9x5oi4yGbP_600x450.jpg,awesome deal!  low miles; immaculate interior condition.  mechanically sound. has upgraded blue tooth stereo.,13168.1938155
6208007106,2017-07-06 18:25,sfbay,CA,toyota,rav4,5000,2002,145000,https://sfbay.craigslist.org/sfc/cto/d/toyota-rav/6208007106.html,2002 toyota rav4,fuel: gas#title status: clean#transmission: automatic,https://images.craigslist.org/00z0z_8GMfLZnSxCl_600x450.jpg,i have a 2002 toyuta rav4 for sale in great condition runs greats has new tires. car has 145;000 miles; but has a new motor with only 20;000 miles.#any questions call or text#show contact info,5151.32850973
6196025517,2017-06-28 03:28,sfbay,CA,toyota,rav4,15000,2012,29506,https://sfbay.craigslist.org/sfc/cto/d/toyota-rav-low-mile/6196025517.html,2012 toyota rav4 low mile,VIN: 2T3DF4DV1CW250716#condition: like new#cylinders: 4 cylinders#drive: 4wd#fuel: gas#odometer: 29506#paint color: green#size: full-size#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/01111_4cCeZu0NZIB_600x450.jpg,a really low mile toyota rav4 on sale; 29506 miles; 90% new.#a large comfortable inside; good felling for both drive and ride.#around 25 mpg; if you drive on highway always; could be higher.#if you are student; may give you some discount#if interested; feel free to contact me.,17302.601176
6223427678,2017-07-17 09:09,sfbay,CA,toyota,rav4,3500,2000,110000,https://sfbay.craigslist.org/sby/cto/d/reduced-toyota-rav-manual/6223427678.html,reduced:2000 toyota rav4-manual; low miles; clean interior; runs great,condition: excellent#drive: fwd#fuel: gas#odometer: 110000#title status: clean#transmission: manual,https://images.craigslist.org/00a0a_2lVJ6VaI9Cp_600x450.jpg,2000 toyota rav4 just had a tune-up. we are only the second owners. clean title in hand.#manual transmission#less than 110k miles#like new interior#runs great#excellent gas mileage#power doors and windows#sunroof#this car has been a great little family car for us but we are growing and unfortunately will no longer be able to fit. we hate to give it up.#the a/c does not blow cool air. we have also been told by the family mechanic it may need a new idle air control valve. (it has never failed to start; just idles high for about 15 seconds occasionally.) we were going to go ahead and have it taken care of but are expecting a baby in about 2 weeks and need to purchase a bigger car asap.#we will be freshly bathing her this weekend!#please text if interested.  this would be a great car for anyone. it has been 100% reliable for us and has been taken care of really well.#open to reasonable offers.,4623.32917265
6215371666,2017-07-11 16:32,sfbay,CA,toyota,rav4,5800,2003,121000,https://sfbay.craigslist.org/pen/cto/d/toyota-rav-moonroof-miles/6215371666.html,2003 toyota rav4 l; moonroof; 121k miles; all service done; runs great,condition: good#drive: fwd#fuel: gas#odometer: 121000#paint color: silver#title status: clean#transmission: automatic,https://images.craigslist.org/00909_cTJoBg7ER4z_600x450.jpg,hello everyone;#so weve decided to sell our rav4.  weve recently put a lot of maintenance into it; it has new spark plugs; new water pump; has brand new tires just a few days old. we also had a remanifactured transmission installed that still has warranty along with a new tcm (transmission control module). so overall the vehicle runs amazing and will last a very long time and most importantly no maintenance required for quite a while. 4cyl 2 wheel drive#body is in good shape no major dents no fading paint its a clear title. interior is also pretty good no signs of ware.  a/c works; heater works; windows/moonroof all work properly.#if you have serious interest please call#show contact info#please serious buyers only no low baller offers!!..,5628.40750067
6211699713,2017-07-09 09:38,sfbay,CA,toyota,rav4,5200,2004,139000,https://sfbay.craigslist.org/pen/cto/d/toyota-rav/6211699713.html,2004 toyota rav4,fuel: gas#title status: clean#transmission: automatic,https://images.craigslist.org/00X0X_afdNr9lrvMZ_600x450.jpg,rav4 clean title 139xxx milles runs great super clean smog tags 2018#vendo mi toyota rav4 hablar si tiene preguntas#show contact info,5759.30217198
