PID,POSTTIME,CITY,STATE,MAKE,MODEL,PRICE,YEAR,MILES,URL,TITLE,ATTR,IMGLINK,MESSAGE,PRICEPRED
6210174599,2017-07-18 07:27,sfbay,CA,volkswagen,passat,800,2003,159000,https://sfbay.craigslist.org/nby/cto/d/vw-passat-mech-specl/6210174599.html,2003 vw passat mech specl,condition: good#cylinders: 6 cylinders#drive: fwd#fuel: gas#odometer: 159000#paint color: grey#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00k0k_lg00BNjTp6e_600x450.jpg,2003 volkswagen passat#v6 automatic 150 9000 miles#loaded with leather moonroof power everything#clean title current registration#the car runs and drives but sounds like a sewing machine -very valvey !!#oil light and temperature light come on in blink !!!!#needs a mechanics attention!!!!#first $800  cash buys the car as is!!#show contact info,2284.90263111
6219698198,2017-07-14 14:43,sfbay,CA,volkswagen,passat,5500,2006,108400,https://sfbay.craigslist.org/eby/cto/d/volkswagen-passat/6219698198.html,2006 volkswagen passat,fuel: gas#title status: clean#transmission: automatic#type: van,https://images.craigslist.org/00N0N_kuQn32xQIOZ_600x450.jpg,runs good; good shape; 108400 miles; auto transmission.#if you want more pictures let me know.  looking for concrete work in back yard 5;500 for car,4779.87948767
6233016937,2017-07-23 18:43,sfbay,CA,volkswagen,passat,3500,1999,83000,https://sfbay.craigslist.org/nby/cto/d/vw-passat/6233016937.html,1999 vw passat 3;500.00,condition: good#cylinders: 6 cylinders#drive: fwd#fuel: gas#odometer: 83000#paint color: black#size: mid-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00606_jJfv0a0z694_600x450.jpg,i m selling 1999 vw passat v6#low low miles#83 xxx miles#power windows#power lock#sunroof#radio am fm cassette#sedan#clean title#smoged#clean#alloy wheels#ac#automatic#car is located at san rafael ca,3686.66117416
6213886808,2017-07-10 17:11,sfbay,CA,volkswagen,passat,5500,2007,142552,https://sfbay.craigslist.org/eby/cto/d/volkswagen-passat/6213886808.html,2007 volkswagen passat,condition: excellent#cylinders: 6 cylinders#drive: fwd#fuel: gas#odometer: 142552#paint color: grey#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00o0o_3gxnE2nTMkY_600x450.jpg,hello; i have a 2007 volkswagen passat in perfect conditions the car is the 3.6 v6 passat the car has 142;000 miles it runs perfectly real smooth and strong car. tags and registration are paid and also just passed smog has new tires; price is 5;500$ obo please contact me by text or phone at#show contact info#ignacio thanks,5010.92629311
6220120357,2017-07-23 11:23,sfbay,CA,volkswagen,passat,6200,2006,82275,https://sfbay.craigslist.org/sby/cto/d/immaculate-vw-passat/6220120357.html,immaculate  2006 vw passat 2.0t,condition: excellent#cylinders: 4 cylinders#fuel: gas#odometer: 82275#paint color: silver#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00e0e_liuhTl6cGZq_600x450.jpg,hi alls; please read this add carefully before you contacting me;#im selling this immaculate 2006 volkswagen passat. it just passed smog and  has a low mileage of 82000 miles. the car is in a very condition. it has air-condition; power windows; power mirrors; leather seats and more. it has a 2.0 liter 4-cylinder turbo engine. this car fuel consumption is 23-mpg for city; and almost 35 mpg freeway. the car runs very smooth and no issue whatsoever; it is registered through june 2018 and it has a clean title; there is some dents showing on pictures. reason i am selling this car; currently i have two cars one of them is 2017 new passat; so no need for third car. this is a private sale; serious buyers only; please no low ballers reasonable offer might be accepted. only cash ; no checks; no other means of payment; only $$$$$$$$#if interested please call me  or text at#show contact info#shown by appointment only.#thank you.,6103.43529159
6192586737,2017-07-10 00:04,sfbay,CA,volkswagen,passat,6000,2006,81000,https://sfbay.craigslist.org/eby/cto/d/volkswagen-passat-low-miles/6192586737.html,2006 volkswagen passat 2.0t low miles,VIN: WVWEK73C06P016973#condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 81000#paint color: grey#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00303_etfTOVhPxIA_600x450.jpg,clean title#-heated seats#-leather#-sun roof#original owner#daily driver#well maintained#fresh front tires just installed last week; and oil changed just recently by volkswagen of fremont#no low ballers#6000 or best offer#tags: sedan; camry; civic;accord;bmw;toyota;nissan;jetta;passat;honda;volkswagen;audi,5998.89730416
6224322507,2017-07-20 19:25,sfbay,CA,volkswagen,passat,5600,2006,103434,https://sfbay.craigslist.org/pen/cto/d/vw-passat/6224322507.html,2006 vw passat 2.0t,condition: good#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 103434#paint color: grey#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00D0D_N1u6EmlmTK_600x450.jpg,2006 volkswagen passat 2.0t sedan luxury runs great. i am the second owner.#- leather heated seats; alloy wheels; sunroof#transmission:automatic#exterior color: grey#interior color:black#mileage:103;434 miles,5470.83896011
6222127347,2017-07-22 10:59,sfbay,CA,volkswagen,passat,4200,2006,129924,https://sfbay.craigslist.org/eby/cto/d/volkswagen-passat-luxury/6222127347.html,2006 volkswagen passat 2.0t luxury,cylinders: 4 cylinders#fuel: gas#odometer: 129924#title status: clean#transmission: automatic,https://images.craigslist.org/00a0a_gvmsiVrevsM_600x450.jpg,im selling this 2006 volkswagen passat. it just passed smog and it has 129;924 miles. it drives very good. it has air-conditioning; power windows; power mirrors; power sunroof; leather seats and more. it has a 2.0 liter 4-cylinder turbo engine. oil change was just done on the car and the tires are in good condition. it is registered through february 2018 and it has a clean title.#if interested please call me at 5 10- 39 5- 0575; thank you.,3998.38852563
6227473014,2017-07-19 21:13,sfbay,CA,volkswagen,passat,900,2001,90000,https://sfbay.craigslist.org/scz/cto/d/volkswagen-passat-non/6227473014.html,2001 volkswagen passat - non operational,fuel: gas#odometer: 90000#title status: clean#transmission: automatic,https://images.craigslist.org/00E0E_lG8jxdN0xZ9_600x450.jpg,i have a 2001 vw passat that usually doesnt run. the car sat without being driven for a few months; so i had the battery replaced a week ago to get it running again. after that the car ran fine for a day (100 miles); but the next day it wouldnt start. i took it to a shop and they told me that the can bus controller in the car died and needs to be replaced. i dont want to put more money into the car; so im looking for someone who wants to get it fixed or wants the car for the parts.#it has 90k miles; just had an oil/fluid change and a new battery put in. the registration is expired. the driver side back window does not roll up; and the interior is in not in good condition. looking for cash and serious offers only.,2543.60114973
6225715210,2017-07-23 11:23,sfbay,CA,volkswagen,passat,6200,2006,83000,https://sfbay.craigslist.org/sby/cto/d/vw-passat/6225715210.html,2006 vw passat,condition: excellent#cylinders: 4 cylinders#fuel: gas#odometer: 83000#paint color: silver#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00l0l_iODKyCfnszH_600x450.jpg,hi all; please read this add carefully before you contacting me;#im selling this immaculate 2006 volkswagen passat. it just passed smog and has a low mileage of 83000 miles. the car is in a very condition. it has air-condition; power windows; power mirrors; leather seats and more. it has a 2.0 liter 4-cylinder turbo engine. this car fuel consumption is 23-mpg for city; and almost 35 mpg freeway. the car runs very smooth and no issue whatsoever; it is registered through june 2018 and it has a clean title; there is some dents showing on pictures. reason i am selling this car; currently i have two cars one of them is 2017 new passat; so no need for third car. this is a private sale; serious buyers only; please no low ballers reasonable offer might be accepted. only cash ; no checks; no other means of payment; only $$$$$$$$#if interested please call me or text at#show contact info#shown by appointment only.#thank you.,6106.21716423
